,USD,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,NZD,THB,HUF,AED,HKD,MXN,ZAR,PHP,SEK,IDR,BRL,SAR,TRY,KES,KRW,EGP,IQD,NOK,KWD,RUB,DKK,PKR,ILS,PLN,QAR,XAU,OMR,COP,CLP,TWD,ARS,CZK,VND,MAD,JOD,BHD,XOF,LKR,UAH,NGN,TND,UGX,RON,BDT,PEN,GEL,XAF,FJD,VEF,VES,BYN,UZS,BGN,DZD,IRR,DOP,ISK,CRC,XAG,SYP,JMD,LYD,GHS,MUR,AOA,UYU,AFN,LBP,XPF,TTD,TZS,ALL,XCD,GTQ,NPR,BOB,ZWD,BBD,CUC,LAK,BND,BWP,HNL,PYG,ETB,NAD,PGK,SDG,MOP,BMD,NIO,BAM,KZT,PAB,GYD,YER,MGA,KYD,MZN,RSD,SCR,AMD,AZN,SBD,SLL,TOP,BZD,GMD,MWK,BIF,HTG,SOS,GNF,MNT,MVR,CDF,STN,TJS,KPW,KGS,LRD,LSL,MMK,GIP,XPT,MDL,CUP,KHR,MKD,VUV,ANG,MRU,SZL,CVE,SRD,SVC,XPD,BSD,XDR,RWF,AWG,BTN,DJF,KMF,ERN,FKP,SHP,SPL,WST,JEP,TMT,GGP,IMP,TVD,ZMW
2022-08-02,132.3682878,134.9369411,161.7654369,1.686356426,92.03746851,102.977527,95.90253853,138.710976,29.71643916,1,19.60343193,83.13938162,3.668536287,0.339331751,36.04310083,16.86312026,6.450170839,7.942275778,2.384513753,12.97129703,0.008908343,25.25828681,35.29821008,7.376191757,1.112222083,0.101138849,6.952601246,0.090754102,13.59842096,431.6889127,2.199755106,18.12817109,0.554766401,39.26902648,28.63143273,36.36491423,235325.7467,344.2608265,0.030756795,0.146522518,4.426551797,1.001225206,5.473917204,0.005678612,12.84515101,186.6971619,352.0433186,0.205710041,0.367427772,3.586438632,0.317905977,42.25654168,0.034134796,27.38185646,1.39824888,33.774916,48.57967106,0.205710041,60.37865925,0.000229437,22.94371174,52.52847877,0.012071697,68.99216246,0.908553896,0.003128998,2.4292083,0.969726807,0.198037626,2680.647658,0.052683846,0.865941269,27.24444497,15.50696402,2.872352973,0.309191793,3.254078819,1.474172204,0.087806493,1.130771566,19.52438713,0.056781991,1.165502415,49.02529016,17.13074408,1.053478948,19.28573983,0.365759292,66.1841439,132.3682878,0.008747845,95.90253853,10.58207332,5.393269789,0.019316804,2.535835967,7.942275778,37.59310143,0.232874956,16.37196142,132.3682878,3.698407269,68.99216246,0.279055671,132.3682878,0.633866637,0.528856338,0.031564105,161.4244412,2.075374086,1.14943067,9.311541416,0.328031212,77.86645914,16.2746788,0.009516984,56.75068333,65.74001207,2.426739216,0.129601492,0.064879201,1.120995455,0.234301545,0.015093905,0.041539665,8.582057382,0.066186475,5.57676425,12.970063,0.147078028,1.592128781,0.860441249,7.942275778,0.071502626,161.7654369,121019.5423,6.862468069,5.474734851,0.032200152,2.200131313,1.1325381,73.96830014,3.513525951,7.942275778,1.223695848,5.454342488,15.12780432,275767.0073,132.3682878,175.0783113,0.128670354,73.94876414,1.686356426,0.744432846,0.274280054,8.82455252,161.7654369,161.7654369,794.20973,49.13897343,161.7654369,37.89131121,161.7654369,161.7654369,92.03746851,8.259696593
2022-08-03,134.2247202,136.1179793,162.8004646,1.696253757,92.99009933,104.2924753,97.12952143,139.3245228,30.11808632,1,19.86401895,83.87263716,3.699521197,0.34493673,36.54859637,17.09884911,6.526085018,7.988263391,2.408389419,13.12135736,0.009024647,25.45580531,35.79325871,7.468263953,1.126853814,0.102465222,7.035570116,0.092037563,13.79062281,437.3559364,2.195648446,18.28733488,0.589632542,39.90140061,28.98356051,36.87492312,235976.3035,349.0889991,0.030979511,0.148007432,4.476026698,1.013667895,5.521804183,0.005731953,13.00220484,189.3155433,356.9806388,0.207510522,0.373889458,3.634411001,0.322125468,42.31085823,0.034574847,27.63612139,1.417483573,34.29194174,49.1692583,0.207510522,61.00277765,0.000231819,23.18187375,53.26759139,0.012249843,69.59601772,0.91916035,0.003185097,2.462815294,0.977167181,0.200922182,2673.546416,0.053433327,0.877054405,27.54145864,15.56035073,2.942870246,0.31105426,3.271526819,1.484414945,0.089037957,1.140668667,19.78571821,0.057571119,1.174094969,49.71319052,17.36257714,1.059661882,19.54120041,0.370888975,67.11236009,134.2247202,0.008849092,97.12952143,10.67985264,5.451162012,0.019550665,2.571378816,7.988263391,38.12038117,0.236734344,16.60082438,134.2247202,3.734569451,69.59601772,0.282861128,134.2247202,0.642631287,0.536278542,0.03184945,163.6885201,2.101268987,1.159994047,9.512667473,0.332010882,78.95642654,16.44258449,0.009672282,57.46250341,66.64676423,2.455923343,0.131618033,0.065813862,1.135603579,0.230551894,0.015317889,0.042059682,8.778578505,0.067084538,5.52261824,13.11220164,0.149143884,1.614500484,0.872569128,7.988263391,0.072490452,162.8004646,120645.656,6.955416319,5.584816344,0.032679346,2.219410984,1.13823319,74.98589209,3.560730352,7.988263391,1.23440627,5.505584889,15.33996802,269648.171,134.2247202,176.8386576,0.129045333,74.98587719,1.696253757,0.755064951,0.276680696,8.948314678,162.8004646,162.8004646,805.3483243,49.77181048,162.8004646,38.31081534,162.8004646,162.8004646,92.99009933,8.370739793
2022-08-04,133.285194,136.2307284,161.8102008,1.682785066,92.8458442,103.697951,96.77444727,139.3349912,29.90085464,1,19.74797431,83.91045463,3.715559267,0.344626245,36.29276896,16.97886969,6.556207234,7.990803042,2.400326227,13.15105202,0.008947942,25.55159122,35.5427184,7.428347882,1.119030637,0.102087602,6.960590958,0.091223692,13.67833793,434.5648799,2.172616148,18.30281991,0.594158972,39.84825073,28.83181729,36.61681153,238334.2276,346.645498,0.031144844,0.147884602,4.44663178,1.004871714,5.537016532,0.005717754,12.94139335,187.9904005,354.4818989,0.207682407,0.371255702,3.608582811,0.319490893,42.23433884,0.034350783,27.64214336,1.405870082,34.22667578,49.09487198,0.207682407,60.81666839,0.000230317,23.03166353,52.8935157,0.012253658,69.65366538,0.920240269,0.003142848,2.442881759,0.982099394,0.199302372,2684.484603,0.053048362,0.870039502,27.35577985,15.58002706,2.928444402,0.311774977,3.266921876,1.474072965,0.088414722,1.141613504,19.64198439,0.057162939,1.161625008,49.36311153,17.2203713,1.051247894,19.3970021,0.368292882,66.64259699,133.285194,0.008768471,96.77444727,10.58447628,5.410453707,0.019417786,2.527959924,7.990803042,37.85355027,0.233838267,16.48433951,133.285194,3.706905809,69.65366538,0.279276909,133.285194,0.637592719,0.532733194,0.031639591,162.5425446,2.086465697,1.160700497,10.47843624,0.330042876,78.48518997,16.3267002,0.009605219,56.9649307,66.08992934,2.438408266,0.130170311,0.065316028,1.126483075,0.229530517,0.015393455,0.041783914,8.671735513,0.066784738,5.539159929,13.0136817,0.148099719,1.605443935,0.866323874,7.990803042,0.071902368,161.8102008,123946.5629,6.899148397,5.539655713,0.032456463,2.20155261,1.132953246,74.46102309,3.532912,7.990803042,1.235428751,5.405684934,15.2325936,276861.8071,133.285194,176.1509383,0.129430078,74.46100223,1.682785066,0.74975822,0.276909875,8.885679599,161.8102008,161.8102008,799.7111671,49.3688876,161.8102008,38.1516348,161.8102008,161.8102008,92.8458442,8.297654764
2022-08-05,135.3285662,137.6086735,163.1857615,1.70416539,93.35877659,104.5614528,97.9079044,140.4470426,30.36663257,1,20.01214316,84.41191856,3.779956541,0.349415941,36.84916712,17.23932347,6.632134488,8.053965183,2.433278405,13.266621,0.00905201,26.02367489,36.08761767,7.545082304,1.135066455,0.10367938,7.073357849,0.092710172,13.78827319,441.1528431,2.235926745,18.49455467,0.60297373,40.41403,29.21428587,37.17817754,240005.66,351.9598602,0.031301894,0.147368306,4.508371172,1.018405721,5.617435362,0.005776236,13.10944539,190.8724489,359.9163996,0.20978307,0.376939272,3.664059497,0.324085851,42.901723,0.034876891,27.93060027,1.428810372,34.76452291,49.93941659,0.20978307,61.4230683,0.000231994,23.19944199,53.59732844,0.012427239,70.35819753,0.935215221,0.003210689,2.488109185,0.986251219,0.202500254,2687.103002,0.053864446,0.885904594,27.73652312,15.64174378,2.943648353,0.316655352,3.327482817,1.494532791,0.089770193,1.153160684,19.93658503,0.058036369,1.187313934,50.12163946,17.49690544,1.064604335,19.69512978,0.373939116,67.66428312,135.3285662,0.008876419,97.9079044,10.77160038,5.506109806,0.019727122,2.571950394,8.053965183,38.43371713,0.237488609,16.73720726,135.3285662,3.780643863,70.35819753,0.283759042,135.3285662,0.647755954,0.540905004,0.032171329,165.0351174,2.118228497,1.17406783,9.653013903,0.334949773,79.60786105,16.6449253,0.009733271,58.02815462,67.14951667,2.488055686,0.131911344,0.06627682,1.143037808,0.238780578,0.015377434,0.042511765,8.801960522,0.067649127,5.600200545,13.22249698,0.15038069,1.630551078,0.881188402,8.053965183,0.073052428,163.1857615,126603.3604,7.015775783,5.628458466,0.032942839,2.247104734,1.153074535,75.60623553,3.58498351,8.053965183,1.247924852,5.421001796,15.46612186,288052.1503,135.3285662,178.3188618,0.131665407,75.60255098,1.70416539,0.761224006,0.27971076,9.021904416,163.1857615,163.1857615,811.9714007,50.34124047,163.1857615,38.6251689,163.1857615,163.1857615,93.35877659,8.418153537
2022-08-06,135.0223619,137.4597275,162.9991283,1.701052957,93.50185954,104.3600346,97.7674935,140.3761416,30.29850086,1,19.98366587,84.23212761,3.769966557,0.349463701,36.76578948,17.20051556,6.612493754,8.046317591,2.430180581,13.24845075,0.009057811,26.04832036,36.00596317,7.538428246,1.132086782,0.103665166,7.07185786,0.092502912,13.785862,438.7253053,2.213447477,18.47488748,0.59873393,40.25548307,29.21690919,37.09405546,239678.2357,351.1634899,0.031096206,0.147055119,4.498566361,1.016205893,5.612965123,0.005772628,13.0547472,190.4405668,359.1020263,0.209556004,0.373375073,3.644286301,0.323365297,42.78296916,0.034815238,27.9351138,1.423501518,34.58668057,49.60094742,0.209556004,61.3546776,0.000231535,23.153527,53.47436985,0.012370388,70.28204267,0.932466012,0.003212297,2.48159096,0.985243754,0.200950855,2685.596568,0.053739587,0.886862487,27.7183725,15.82525433,2.913671624,0.313849041,3.316607003,1.490990292,0.089567073,1.151912517,19.8859706,0.057906313,1.175272553,50.00215299,17.45291046,1.062659976,19.65735158,0.373093014,67.51118094,135.0223619,0.008890075,97.7674935,10.69822706,5.516577367,0.019598797,2.586199605,8.046317591,38.36010836,0.238565425,16.69952967,135.0223619,3.763860605,70.28204267,0.283208986,135.0223619,0.642469835,0.539622532,0.032758302,164.6602071,2.119687514,1.170398601,9.429537859,0.333569467,79.42521811,16.36473749,0.00974749,58.0866229,66.96835699,2.490571965,0.131859162,0.066224831,1.121424126,0.232223075,0.015634547,0.042425537,8.639638205,0.067506506,5.601336857,13.19275285,0.15002486,1.626859798,0.879769072,8.046317591,0.072797666,162.9991283,125858.4974,7.015285953,5.402667648,0.03293777,2.229592545,1.159412831,75.53690075,3.570073601,8.046317591,1.246574114,5.443055937,15.43112707,287530.2391,135.0223619,178.5937113,0.131331971,75.43148708,1.701052957,0.758553514,0.279408005,9.001490792,162.9991283,162.9991283,810.1341745,51.17369441,162.9991283,38.47739101,162.9991283,162.9991283,93.50185954,8.385588094
2022-08-07,134.9763369,137.4602637,162.9298957,1.700467133,93.88671636,104.3775553,97.73033426,140.3183407,30.29068055,1,19.97230426,84.20682707,3.768623572,0.349356901,36.75325714,17.19435444,6.611143442,8.043768061,2.429302678,13.25156474,0.009056363,26.12193012,35.99368983,7.535866253,1.131890834,0.103652687,7.069777238,0.092472549,13.78130033,438.5216358,2.217815744,18.46803485,0.598832915,40.2375525,29.20747728,37.08141123,239596.5366,351.043789,0.031078419,0.147005331,4.496985173,1.015979109,5.611381445,0.005770664,13.05088509,190.3756514,358.9796193,0.209556821,0.371080485,3.643116735,0.323252924,42.76838994,0.03480645,27.89815742,1.423890738,34.57666651,49.58403997,0.209556821,61.33376365,0.000231467,23.14666342,53.45597453,0.012366153,70.28231682,0.932105517,0.003211791,2.481652231,0.984903641,0.200843526,2684.68113,0.05372124,0.889507327,27.73448263,15.87545135,2.917057615,0.313742059,3.316072699,1.491288432,0.089536542,1.15191701,19.88070297,0.057891908,1.174783125,49.99123492,17.44994596,1.062294008,19.66154691,0.372965838,67.48816843,134.9763369,0.008887081,97.73033426,10.69458036,5.517254442,0.019595134,2.585242791,8.043768061,38.4142845,0.238741088,16.693548,134.9763369,3.762471491,70.28231682,0.283151676,134.9763369,0.642184241,0.539430704,0.032777088,164.6042677,2.118960423,1.168260269,9.415310068,0.333455764,79.39814447,16.35916298,0.009743077,58.06682074,66.97566181,2.489723005,0.131832954,0.06621855,1.120148735,0.232143745,0.015641275,0.042413571,8.613847496,0.067483445,5.600762065,13.18825584,0.149973708,1.626305251,0.879498907,8.043768061,0.072782446,162.9298957,125815.5961,7.019004985,5.399053419,0.03293596,2.228438418,1.159017978,75.51123433,3.568912297,8.043768061,1.246578976,5.431713649,15.42586707,287432.2288,134.9763369,178.5328342,0.13129817,75.40577478,1.700467133,0.75829519,0.279409095,8.998422457,162.9298957,162.9298957,809.8580244,51.15625453,162.9298957,38.45964924,162.9298957,162.9298957,93.88671636,8.383499058
2022-08-08,134.7487253,137.531687,162.994411,1.69276963,94.19540108,104.8243719,97.75252671,141.1466589,30.21950529,1,19.96005927,84.71388489,3.78522386,0.348796606,36.69127987,17.16517376,6.639325423,8.099917732,2.431715959,13.27338366,0.009070428,26.24894965,35.93299342,7.498707934,1.130463795,0.103596291,7.027748554,0.092374759,13.85370489,439.4139269,2.230970423,18.4848823,0.600534123,40.73454947,29.26441441,37.01888059,240874.2127,350.4518214,0.031332037,0.148826153,4.485610418,1.008912465,5.609465619,0.005776678,13.11432921,190.0546197,358.3742695,0.209665705,0.36914836,3.650778907,0.3223897,42.98119427,0.034725072,28.04136401,1.420490037,34.55520044,49.72544227,0.209665705,61.55508314,0.000230913,23.09125842,53.46511596,0.012396321,70.31883498,0.934394548,0.003183198,2.478151542,0.980273267,0.200655532,2783.424474,0.053630872,0.882029944,27.62166384,15.54105229,2.958749985,0.316050998,3.350285948,1.490707408,0.089385556,1.152515537,19.8106143,0.057771932,1.182282388,49.90708668,17.34329635,1.057485323,19.51484322,0.372336903,67.37436267,134.7487253,0.008883637,97.75252671,10.69139892,5.453437205,0.019559191,2.544752955,8.099917732,38.26915816,0.236619008,16.66521724,134.7487253,3.732162522,70.31883498,0.28242221,134.7487253,0.643809674,0.538483425,0.031830223,164.3269722,2.111117256,1.172128576,9.933026207,0.333141819,79.26677375,16.57436612,0.009684786,57.78051469,66.54492597,2.477877926,0.131452148,0.065138708,1.10020802,0.23612126,0.015481725,0.042403971,8.750776173,0.067378991,5.585028431,13.20889517,0.149721664,1.623489452,0.877555209,8.099917732,0.072431757,162.994411,127448.6407,6.976779777,5.571093819,0.032822724,2.231589101,1.142968742,75.28864175,3.56917069,8.099917732,1.247226689,5.433503681,15.39985432,303111.8269,134.7487253,177.9513434,0.13110049,75.27861751,1.69276963,0.757859135,0.279554274,8.983248356,162.994411,162.994411,808.4923552,49.79983363,162.994411,38.5433414,162.994411,162.994411,94.19540108,8.375539773
2022-08-09,134.9668171,138.0312453,163.1892311,1.695836067,94.10563297,104.7939605,97.92722275,141.6913117,30.2936013,1,19.98676126,84.84435577,3.816125074,0.348106751,36.75066497,17.19344694,6.651932292,8.132175501,2.427084401,13.2836924,0.009075253,26.30280706,35.99115122,7.52652122,1.132454357,0.103281278,7.044236768,0.092501147,13.89615548,440.184833,2.230881997,18.55011074,0.601528384,40.74753932,29.36061169,37.0787959,242381.3933,351.0190301,0.031264492,0.149679434,4.493223502,1.008706497,5.632178057,0.005791149,13.14979831,190.3622244,358.9543008,0.210427277,0.375945583,3.655835661,0.322905155,42.96186728,0.034821175,28.15466272,1.423092757,34.31783066,49.8977834,0.210427277,61.59671537,0.000230702,23.0701973,53.55815419,0.012424521,70.57425509,0.938002596,0.003191454,2.490420193,0.985186325,0.201689552,2765.129407,0.053730583,0.883676545,27.66602095,15.40961261,3.033708458,0.314271319,3.357749483,1.500213283,0.089530227,1.156701836,19.84140753,0.057857235,1.181022265,49.98789697,17.43161512,1.059400948,19.61486237,0.372939533,67.48340854,134.9668171,0.008909204,97.92722275,10.71589282,5.489786379,0.019641829,2.56319548,8.132175501,38.3311157,0.236911678,16.69266693,134.9668171,3.765132995,70.57425509,0.281633416,134.9668171,0.645203864,0.539437944,0.032221805,164.593954,2.113227283,1.176313391,9.417114993,0.333940559,79.27857414,16.59940212,0.009720447,58.0309717,66.88389191,2.483706266,0.132612857,0.06552495,1.101286441,0.236678879,0.015381387,0.042441172,8.753385761,0.067488545,5.616905508,13.19695685,0.149964559,1.629465269,0.879290624,8.132175501,0.071186134,163.1892311,126390.187,6.987288774,5.600516167,0.032854574,2.243695536,1.150428694,75.40688486,3.576326033,8.132175501,1.251757009,5.617316477,15.4247791,304219.2046,134.9668171,178.2105546,0.12975775,75.40045647,1.695836067,0.759170261,0.280569703,8.997787806,163.1892311,163.1892311,809.8009058,50.16301613,163.1892311,38.52296867,163.1892311,163.1892311,94.10563297,8.389895337
2022-08-10,132.5560976,136.9386417,162.2817271,1.675752952,94.07557762,103.765309,96.8206987,140.8368737,29.74293024,1,19.71482045,85.16628967,3.75808216,0.347920144,36.09424033,16.89285978,6.640148891,8.19117592,2.393159961,13.20636429,0.0089689,26.24393609,35.34829269,7.42615913,1.111169754,0.102083137,6.916252113,0.090834904,13.93716444,432.8937699,2.150933714,18.40890408,0.590589103,40.64415674,29.31161975,36.41651033,238343.3089,344.7492786,0.03108862,0.149517804,4.428925225,0.988864116,5.628439702,0.005650151,12.96120627,186.9620559,352.5428128,0.208761613,0.365143986,3.595600827,0.31660867,42.52828391,0.034356997,27.90952637,1.395981526,33.85204033,49.18723939,0.208761613,61.09173964,0.000225931,22.59307514,52.49889932,0.012156985,70.01561571,0.925437499,0.003118815,2.446149714,0.977432416,0.198173838,2748.5097,0.052759092,0.869864844,27.16608367,14.96233453,2.905914632,0.310893665,3.306617043,1.469436912,0.087931076,1.147545817,19.49891702,0.056846876,1.157466824,49.09455996,17.13477819,1.046854882,19.26042621,0.366278247,66.2780488,132.5560976,0.008737249,96.8206987,10.56143577,5.385719007,0.019248148,2.515020133,8.19117592,37.64701921,0.232373047,16.40083474,132.5560976,3.692674348,70.01561571,0.27705514,132.5560976,0.634465325,0.529798648,0.031599987,161.6553898,2.075137074,1.167070064,9.283143786,0.327625353,77.86242737,16.3000016,0.009533314,56.7102033,65.75180206,2.445633498,0.129641027,0.064281014,1.093245718,0.233826099,0.015353642,0.041484871,8.657086631,0.066374935,5.51994232,12.95261465,0.147299111,1.611967787,0.863559726,8.19117592,0.063035834,162.2817271,126055.8714,6.878016721,5.497528992,0.032400604,2.195612975,1.128562881,74.05444614,3.510754778,8.19117592,1.241848569,5.516817946,15.1492683,298272.4669,132.5560976,176.2560156,0.126981266,74.05368581,1.675752952,0.745645492,0.278348818,8.837073174,162.2817271,162.2817271,795.3365888,49.14638334,162.2817271,37.83464003,162.2817271,162.2817271,94.07557762,8.23928467
2022-08-11,132.6660361,137.1343461,162.1800654,1.667777417,94.44133146,104.08331,96.94300538,141.2323003,29.83324879,1,19.67024415,85.46980455,3.773015332,0.347436643,36.12417592,16.91346022,6.657067486,8.178954499,2.395539216,13.2163915,0.009023097,25.80012836,35.37760962,7.389853797,1.111640486,0.10196705,6.928329368,0.090943225,13.97009369,432.9951438,2.186566035,18.43451998,0.598911651,41.00379496,29.29020187,36.44671321,237567.5898,345.0352043,0.031377008,0.150520674,4.425408181,0.988373292,5.632538104,0.005647254,12.95359327,187.1171172,352.8352023,0.209059963,0.365468889,3.592521496,0.316727132,42.57729601,0.034830233,27.98333668,1.398058107,34.15087775,49.22693151,0.209059963,61.29135649,0.000224196,22.4196477,52.64754817,0.012179113,70.1156778,0.927215336,0.00312444,2.457167481,0.97874865,0.198492737,2703.960666,0.052812263,0.872756445,27.24831935,14.82629077,2.950080838,0.309463544,3.302392718,1.476767367,0.088004004,1.14918582,19.55515474,0.056901354,1.17110715,49.13556406,17.16494036,1.041872508,19.22020679,0.366582028,66.33301803,132.6660361,0.008748366,96.94300538,10.57214672,5.403138672,0.019284711,2.522547491,8.178954499,37.74352542,0.232988683,16.42083517,132.6660361,3.700038438,70.1156778,0.27856821,132.6660361,0.635555112,0.530111302,0.031597584,161.7870824,2.076950542,1.168644568,10.39543216,0.32914387,78.0416,16.31074819,0.009539468,57.18195712,65.89073234,2.448170705,0.129573636,0.0648837,1.093894746,0.233055423,0.01537746,0.041529296,8.640962247,0.066435414,5.590101365,12.9778912,0.147414635,1.612783902,0.864068373,8.178954499,0.063207204,162.1800654,128013.5464,6.892803702,5.487680511,0.032289168,2.221029017,1.140974452,74.11664931,3.516511511,8.178954499,1.243623344,5.601226522,15.16183269,301767.0703,132.6660361,176.2235072,0.128950583,74.11510395,1.667777417,0.746271861,0.278746617,8.844402405,162.1800654,162.1800654,795.9962196,49.68946199,162.1800654,37.97178871,162.1800654,162.1800654,94.44133146,8.239667264
