Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita PPP (log)
Chile,Chilean Peso,CLP,28684.78027,4.457651527
Hungary,Forint,EUR,36752.4965,4.565286845
Costa Rica,Costa Rican Colon,CRC,23319.50228,4.367719277
Czechia,Czech Koruna,CZK,45093.65777,4.654115465
Mexico,Mexican Peso,MXN,20277.17677,4.307007487
Albania,Lek,ALL,15709.25126,4.196155486
Kazakhstan,Tenge,KZT,28684.89806,4.457653311
Central African Republic,CFA Franc BEAC,XAF,920.0784701,2.963824868
Niger,CFA Franc BCEAO,XOF,1303.567363,3.115133479
Chad,CFA Franc BEAC,XAF,1566.041161,3.194803173
Guinea-Bissau,CFA Franc BCEAO,XOF,2011.94848,3.303616856
Gabon,CFA Franc BEAC,XAF,2281.305526,3.358183452
Mali,CFA Franc BCEAO,XOF,2329.706181,3.367301152
Togo,CFA Franc BCEAO,XOF,2334.299325,3.368156544
Burkina Faso,CFA Franc BCEAO,XOF,2394.705365,3.379252087
Comoros,Comoro Franc,KMF,3546.843502,3.549842026
Congo,CFA Franc BEAC,XAF,3553.287985,3.550630407
Benin,CFA Franc BCEAO,XOF,3649.04065,3.562178701
Senegal,CFA Franc BCEAO,XOF,3840.032959,3.584334952
Cameroon,CFA Franc BEAC,XAF,4065.31161,3.60909384
Sao Tome and Principe,Dobra,STN,4451.642512,3.648520281
C?te d'Ivoire,CFA Franc BCEAO,XOF,5850.051925,3.767159721
Germany,Euro,EUR,5971.125009,3.776056163
Cabo Verde,Cabo Verde Escudo,CVE,6716.956331,3.827172525
Kosovo,Euro,EUR,13055.90078,4.115806841
French Polynesia,CFP Franc,XPF,15175.68734,4.18114837
Equatorial Guinea,CFA Franc BEAC,XAF,16080.14326,4.206289914
Bosnia and Herzegovina,Convertible Marks,BAM,17376.60824,4.23996501
Greece,Euro,EUR,29548.04,4.470528678
Monaco,Euro,EUR,166909.97,5.222482279
Andorra,Euro,EUR,36839.88,4.566318207
San Marino,Euro,EUR,56364.21,4.751003424
North Macedonia,Denar,MKD,18222.2861,4.260602861
Montenegro,Euro,EUR,23284.56728,4.367068171
Serbia,Serbian Dinar,RSD,21503.35809,4.332506287
Bulgaria,Bulgarian Lev,BGN,27926.10922,4.446010432
Slovakia,Euro,EUR,33010.29075,4.51864935
Croatia,Croatian Kuna,EUR,34314.01846,4.535471581
Latvia,Euro,EUR,34444.31209,4.537117516
Portugal,Euro,EUR,35798.75385,4.553867909
Spain,Euro,EUR,40698.6887,4.609580417
Estonia,Euro,EUR,42138.32058,4.624677223
Lithuania,Euro,EUR,42581.26696,4.629218579
Slovenia,Euro,EUR,43602.4892,4.639511283
Cyprus,Euro,EUR,44109.67188,4.644533827
Italy,Euro,EUR,45902.23562,4.661833838
Greenland,Danish Krone,DKK,15037.84954,4.177185735
Malta,Euro,EUR,48581.45094,4.686470481
France,Euro,EUR,50541.25936,4.703646059
Finland,Euro,EUR,55013.3859,4.740468375
Austria,Euro,EUR,58430.64025,4.766640645
Belgium,Euro,EUR,58905.16378,4.770153368
Netherlands,Euro,EUR,63768.20005,4.804604159
Ireland,Euro,EUR,106351.3735,5.026743103
Romania,New Leu,RON,35869.63348,4.554726939
Luxembourg,Euro,EUR,134544.5291,5.128866043
Denmark,Danish Krone,DKK,64651.21645,4.810576701
Georgia,Lari,GEL,57881.08358,4.762536653
Thailand,Baht,THB,18760.75522,4.273250317
Liechtenstein,Swiss Franc,CHF,139100,5.14332713
Poland,Zloty,PLN,37836.76295,4.577913974
Switzerland,Swiss Franc,CHF,77273.60724,4.888031186
Mauritania,Ouguiya,MRU,5830.817088,3.765729418
Republic of Moldova,Moldovan Leu,MDL,15390.46583,4.187251765
Japan,Yen,JPY,42940.40525,4.632866139
Brunei Darussalam,Brunei Dollar,BND,66055.2483,4.819907329
Singapore,Singapore Dollar,SGD,116486.4732,5.066275497
Uganda,Uganda Shilling,UGX,2467.899337,3.392327441
Republic of Korea,Won,KRW,47242.52723,4.674333122
Tunisia,Tunisian Dinar,TND,11282.48463,4.052404751
Morocco,Moroccan Dirham,MAD,8852.914063,3.947086248
Kiribati,Australian Dollar,AUD,2128.076638,3.327987264
Tuvalu,Australian Dollar,AUD,5409.511692,3.733158064
Nauru,Australian Dollar,AUD,13125.34837,4.118110839
Vanuatu,Vatu,VUV,3057.4114,3.485353881
Gibraltar,Gibraltar pound,GIP,31363.80736,4.496428778
Libya,Libyan Dinar,LYD,24130.82983,4.382572257
Australia,Australian Dollar,AUD,56281.37865,4.750364727
United Kingdom,Pound Sterling,GBP,49675.30467,4.696140539
Philippines,Philippine Peso,PHP,8892.789346,3.949038005
New Zealand,New Zealand Dollar,NZD,46419.5087,4.66670054
Armenia,Armenian Dram,AMD,15592.48736,4.192915401
Algeria,Algerian Dinar,DZD,11039.81,4.042961599
Taiwan,Taiwan Dollar,TWD,65480,4.816108671
Sweden,Swedish Krona,SEK,59323.96461,4.773230167
China,Yuan Renminbi,CNY,19338.23408,4.286416813
D.R. of the Congo,Franc Congolais,CDF,1179.499142,3.071697629
Samoa,Tala,WST,6079.764271,3.783886741
Malaysia,Malaysian Ringgit,MYR,28929.4742,4.46134054
Cambodia,Riel,KHR,4783.903614,3.679782421
Fiji,Fiji Dollar,FJD,11380.5695,4.056163995
Uruguay,Peso Uruguayo,UYU,25048.72397,4.398785607
Peru,Nuevo Sol,PEN,13748.53362,4.13825638
Brazil,Brazilian Real,BRL,16031.08617,4.204962949
Guinea,Guinea Franc,GNF,2900.668958,3.462498167
Cuba,Cuban Peso,CUP,21016.65,4.322563492
Sudan,Sudanese Pound,SDG,4065.976074,3.609164819
Ukraine,Hryvnia,UAH,14219.79004,4.152893184
Indonesia,Rupiah,IDR,13027.30061,4.114854435
