,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id
134,Lebanon,Lebanese Pound,LBP,14256.68971,4136.1,64.69513681317751,0.0020636547768875,0.29011643545126997,1.0033809264734908,7.103846452914454,134
185,Syrian Arab Republic,Syrian Pound,SYP,4684.72,726.74,-4.387049933115906,0.0122950891385655,0.15512986902098738,1.876474850558274,3.6635872538012317,185
159,Pakistan,Pakistan Rupee,PKR,5748.005952,1505.0,1.3932384777358169,0.1092087574183831,0.26182993068689153,1.1117800666432962,3.559137547025659,159
206,Zambia,Kwacha,ZMW,3555.920229,1137.3,2.41559247875199,1.4605697224874363,0.31983282153655984,0.9101545500858073,3.45299279130102,206
203,Venezuela (Bolivarian Republic of),Bolivar Digital,VEF,17131.39,15975.7,9.280560086431612,1.27369033449e-05,0.9325396246305758,0.31215541956579024,3.434429727041292,203
183,Suriname,Surinam Dollar,SRD,16222.6757,4869.1,0.6079384244252042,0.8759525490190853,0.3001416098085472,0.9698665172548571,3.3317992654264175,183
105,Egypt,Egyptian Pound,EGP,12706.40445,3698.8,0.0,1.0,0.2910972977882819,1.0,3.2980925781776165,105
170,Russian Federation,Russian Ruble,RUB,32862.62109,12194.8,0.4151237938139027,0.3997376801276031,0.3710842165207218,0.7844507656984292,3.1203694157439497,170
37,Argentina,Argentine Peso,ARS,23649.6703,10636.1,1.4208235289541578,0.1502230400127926,0.44973565656854,0.6472631056415215,3.0832129138073867,37
182,Sudan,Sudanese Pound,SDG,4065.976074,751.8,-6.150477940466392,0.0540655223433411,0.1849002518257317,1.5743477627204145,3.0812165450935014,182
201,Uzbekistan,Uzbekistan Sum,UZS,8497.448308,1983.2,-3.9418041918367104,0.0027079225652326,0.23338770982965534,1.2472691814009724,3.077093966634898,201
132,Kyrgyzstan,Som,KGS,5289.687125,1276.7,-3.7088827672761724,0.3533683277972569,0.24135642994196937,1.2060888448601597,3.066226451868413,132
188,Tajikistan,Somoni,TJS,3903.32,1279.61,-2.2978814706415407,2.830351891037303,0.32782605576791035,0.8879626639389788,2.919024792688071,188
123,Iran (Islamic Republic of),Iranian Rial,IRR,16484.07536,4091.2,-4.5645414265546735,0.0007348616478906,0.2481910517060388,1.1728758784303872,2.9131444430764994,123
130,Kenya,Kenyan Shilling,KES,5211.170533,2081.8,-1.479195853604639,0.2348905600846063,0.3994879819834904,0.7286759825488619,2.852577921239676,130
60,Bhutan,Ngultrum,BTN,11983.31697,3266.4,-4.311881839074053,0.3751753252951743,0.2725789535716504,1.067937542403705,2.840936570768842,60
150,Myanmar,Kyat,MMK,4430.222427,1209.9,-4.334006580993475,0.0147398050707644,0.2731014119350446,1.0658945178120043,2.835713611397696,150
0,Afghanistan,Afghan Afghani,AFN,1665.805842,368.8,-6.083351557378337,0.3563753781220127,0.2213943490300234,1.3148361693224884,2.824999250310716,0
137,Libya,Libyan Dinar,LYD,24130.82983,6357.2,-4.799324192252138,6.448965233867647,0.2634472185493009,1.10495491047975,2.8090562867827478,137
67,Burundi,Burundi Franc,BIF,774.5428909,221.5,-4.194238731035177,0.0148769142275938,0.2859751249444978,1.017911253102095,2.805863727591851,67
152,Nepal,Nepalese Rupee,NPR,4209.759393,1208.2,-4.311881836730206,0.2343747151617518,0.28699977533371585,1.0142770928994687,2.785635010508642,152
186,Turkiye,New Turkish Lira,TRY,30737.0175,9661.2,-3.663882165672707,1.6221124621155394,0.3143180694093043,0.9261233321244909,2.7837356587790456,186
171,Rwanda,Rwanda Franc,RWF,2459.707347,822.3,-3.29181805293146,0.0281330298607196,0.33430806351939557,0.8707456671065109,2.775834763613512,171
111,Gambia,Dalasi,GMD,2646.0,772.2,-4.336849555241319,0.5024357575061407,0.29183673469387755,0.9974662651486583,2.764791609611435,111
133,Lao People's DR,Kip,LAK,8620.647618,2535.6,-4.410743838148261,0.0018304967943958,0.29413103427469195,0.9896857654144146,2.7463179807381266,133
196,Uganda,Uganda Shilling,UGX,2467.899337,883.9,-3.2764725347288968,0.0081978967916187,0.3581588546777911,0.8127602989186474,2.718076404714605,196
106,Eritrea,Nakfa,ERN,2102.95,643.8,-4.397389835393997,2.059452119295542,0.3061413728334007,0.9508590593101389,2.7081979450561473,106
205,Yemen,Yemeni Rial,YER,2285.0,701.7,-4.399651028372122,0.1234579998747946,0.30708971553610503,0.9479226527664588,2.7048511544894045,205
121,India,Indian Rupee,INR,7241.98423,2256.6,-4.311881839074053,0.3751753252951743,0.3115996843312651,0.9342028006639863,2.7031117856308655,121
118,Haiti,Gourde,HTG,3153.12702,1829.6,-0.7987843708658661,0.1982412100737523,0.5802493805022799,0.5016761888419424,2.6965131022251927,118
49,Belarus,Belarussian Ruble,BYN,21698.57409,7302.3,-3.8500862786200747,12.234499462615092,0.3365336344089696,0.8649872346326264,2.695618806023814,49
29,Angola,Kwanza,AOA,6491.125578,1953.5,-4.71746267232509,0.0611759951387744,0.30094934638468335,0.967263432485385,2.6791183117365214,29
154,Nicaragua,Cordoba Oro,NIO,6194.70035,2045.5,-4.146191315481661,0.8458714044360739,0.33020160531251525,0.8815744475644703,2.672045089479434,154
147,Mongolia,Tugrik,MNT,12818.87945,4566.1,-3.74071233229353,0.0087482530364354,0.35620118106345094,0.8172272110923408,2.6611900279801133,147
44,Azerbaijan,Azerbaijanian Manat,AZN,15854.55084,5388.0,-4.1408291783568485,18.11967147584348,0.33983933410503353,0.8565732938327645,2.6470241103939016,44
38,Armenia,Armenian Dram,AMD,15592.48736,4966.5,-4.849255070216888,0.0797038307945891,0.31851877672453666,0.9139093801054952,2.604827998601018,38
2,Algeria,Algerian Dinar,DZD,11039.81,3690.6,-4.618947264438622,0.2265129983900645,0.3342992315990946,0.8707686715157569,2.5939591819122536,2
108,Ethiopia,Ethiopian Birr,ETB,2547.716814,925.1,-4.11647644810034,0.5744166651435704,0.3631094299478137,0.8016792563886831,2.5938298363247583,108
155,Nigeria,Naira,NGN,5407.979457,2065.7,-3.8187425572619063,0.0670923954041356,0.3819726048193825,0.7620894643110037,2.5938254288703386,155
69,Cambodia,Riel,KHR,4783.903614,1625.2,-4.5562776633416044,0.0076230506666825,0.3397225636494607,0.8568677177670416,2.588659192178061,69
204,Viet Nam,Dong,VND,11676.10856,3756.5,-4.9753374191472055,0.0013138083862068,0.3217253403132113,0.9048006523355857,2.5767604537108046,204
129,Kazakhstan,Tenge,KZT,28684.89806,10373.8,-4.289973966165974,0.0675785127497604,0.3616467445099925,0.8049216596231208,2.5729582089440903,129
179,Somalia,Somali Shilling,SOS,1248.812487,447.0,-4.355064162762292,0.0542983428711365,0.35794004676700514,0.8132571373824696,2.5723774672893054,179
136,Liberia,Liberian Dollar,LRD,1563.552927,675.7,-3.3289053692011614,0.1926380385644117,0.43215678109245104,0.6735918780504052,2.567807973561243,136
61,Bolivia (Plurinational State of),Boliviano,BOB,8846.081965,3345.2,-4.149281357319203,4.465102273696569,0.37815611625977064,0.7697807473469912,2.556403030103357,61
197,Ukraine,Hryvnia,UAH,14219.79004,4835.6,-4.800762115188363,0.8426292193378427,0.34006127983588713,0.8560142393417001,2.5522912730457934,197
107,Eswatini,Lilangeni,SZL,9730.068125,3978.4,-3.7462335440109182,1.7016148282961088,0.40887689057161664,0.7119436302240586,2.55194271950791,107
122,Indonesia,Rupiah,IDR,13027.30061,4332.7,-4.949662986875728,0.0020299749687168,0.33258616882411834,0.875253769023158,2.5501309980897777,122
47,Bangladesh,Taka,BDT,6493.809393,2457.9,-4.262964367674856,0.2927641893859422,0.3784989443406659,0.7690835130210598,2.539815509031938,47
149,Mozambique,Metical,MZN,1347.720024,491.8,-4.516464746040747,0.4845001198372264,0.3649125866219229,0.7977178876810868,2.5334097651323453,149
172,Samoa,Tala,WST,6079.764271,3857.3,-1.9303808992025056,11.080971037116557,0.634448940462876,0.4588191093453565,2.5211949869981067,172
192,Tunisia,Tunisian Dinar,TND,11282.48463,3807.1,-5.077635555757965,9.989864341032732,0.3374345390089842,0.8626778356572783,2.5180355834901613,192
135,Lesotho,Loti,LSL,2521.530663,1094.1,-3.7462335440109182,1.7016148282961088,0.4339031113340857,0.6708808722142354,2.5096241287942767,135
145,Mauritius,Mauritius Rupee,MUR,23035.283,9106.2,-4.292794376084731,0.6715812929266565,0.395315308259942,0.7363673799266816,2.501910923540555,145
194,U.R. of Tanzania: Mainland,Tanzanian Shilling,TZS,2836.242432,1099.3,-4.412040604719204,0.0132144454892246,0.38759028057584605,0.7510438532044619,2.5001935799397956,194
109,Fiji,Fiji Dollar,FJD,11380.5695,4646.6,-4.143455796508047,13.926541783248172,0.40829239696660174,0.712962817703641,2.4986567655212104,109
176,Seychelles,Seychelles Rupee,SCR,31596.15966,14653.3,-3.678165120813401,2.238273131197358,0.46376838697111455,0.6276781815367952,2.4742491407831473,176
140,Madagascar,Malagasy Ariary,MGA,1607.935225,500.5,-5.8422769688278535,0.0072801240461199,0.31126875773245155,0.9351960020301561,2.4733942462802254,140
195,Zanzibar,Tanzanian Shilling,TZS,2581.7,1039.56,-4.412040604719204,0.0132144454892246,0.40266491071774413,0.7229269053253371,2.4712167243391905,195
128,Jordan,Jordanian Dinar,JOD,10132.50388,4103.3,-4.3973898351095535,43.57091930808623,0.40496406896021836,0.7188225329118714,2.4690649869811776,128
117,Guyana,Guyana Dollar,GYD,24086.90092,9998.5,-4.270528435000433,0.1469529328232856,0.41510113871469356,0.701268367245695,2.4688653735184833,117
63,Botswana,Pula,BWP,16304.15336,6805.2,-4.251973582553668,2.350028539202653,0.4173905783231666,0.6974218224037114,2.4675026578776187,63
82,Colombia,Colombian Peso,COP,16819.17629,6104.1,-5.0369483189455,0.006517360165253,0.3629250264550263,0.8020865924614178,2.4616992290173987,82
142,Malaysia,Malaysian Ringgit,MYR,28929.4742,11109.3,-4.746421346234799,6.977805461657555,0.38401320131839795,0.7580398194355917,2.4592732259281,142
189,Thailand,Baht,THB,18760.75522,7066.2,-4.88540981653814,0.902823434349196,0.3766479503163626,0.7728630875165441,2.4541329260682776,189
64,Brazil,Brazilian Real,BRL,16031.08617,7507.2,-3.8185325135768062,5.88158857894191,0.4682901657685993,0.6216173626249598,2.4490856892099675,64
180,South Africa,Rand,ZAR,14624.41517,7055.0,-3.7462335440109182,1.7016148282961088,0.48241245328376436,0.6034199486493207,2.4401000307581833,180
