,Currency abbreviation,Forex score
0,LBP,83.72568893022002
1,VEF,30.212293751143992
2,VES,30.212250441949664
3,XPD,9.77736466919246
4,EGP,9.24597447332413
5,ARS,5.976672427687432
6,PKR,5.626755159612441
7,GHS,5.5072015983285
8,XPT,5.203416160195479
9,RUB,5.0113225741137
10,ZMW,4.495507102693844
11,SLL,3.7148740032387364
12,SRD,2.509848778206818
13,HTG,2.408382250270452
14,SZL,2.1457854966180885
15,ZAR,2.1457854966180885
16,LSL,2.1457854966180885
17,NAD,2.1457854966180885
18,XAG,1.7759173530534749
19,COP,1.5682781604595752
20,MUR,1.4670522360870002
21,TJS,1.121752846970343
22,NOK,0.9060122508706966
23,KGS,0.8096875663216258
24,ILS,0.7242124359478296
25,NGN,0.6682779187308089
26,JMD,0.6252336276071796
27,MNT,0.5817589885242158
28,KES,0.25638058611034864
29,TOP,0.2158757998797351
30,BWP,0.20660253821021698
31,RWF,0.049533968699810776
32,KRW,0.0
33,LRD,-0.016430860543126053
34,ISK,-0.16607096912892924
35,MYR,-0.18605354766642132
36,PYG,-0.28165012876695994
37,NPR,-0.36253022804916424
38,BTN,-0.3625302294616803
39,INR,-0.3625302294616803
40,SCR,-0.4473011345734122
41,UZS,-0.46056221284557464
42,NZD,-0.4725843648458573
43,UYU,-0.4813881535631447
44,AOA,-0.49116095562654905
45,THB,-0.4999206911978781
46,BYN,-0.5738684667308861
47,TRY,-0.579283762758675
48,VND,-0.6797407234613532
49,JPY,-0.7006729620802109
50,FJD,-0.7036586503751784
51,BOB,-0.7381079148869653
52,BIF,-0.7620213124284675
53,CAD,-0.770167244991812
54,KWD,-0.7727752040426651
55,PHP,-0.7757768152480383
56,TMT,-0.7852425874180998
57,SOS,-0.7993689458507619
58,GYD,-0.8113471534067062
59,GMD,-0.8340641627812759
60,SBD,-0.8436241279156983
61,AFN,-0.8451240868240941
62,HKD,-0.8681347462103743
63,MOP,-0.8681347742520202
64,XDR,-0.9160322755566547
65,DJF,-0.9260665731745082
66,ETB,-0.9297088754474901
67,TZS,-0.951418230003291
68,IMP,-0.9693685041669583
69,GIP,-0.9693685041669583
70,FKP,-0.9693685041669583
71,GBP,-0.9693685041669583
72,GGP,-0.9693685041669583
73,JEP,-0.9693685041669583
74,SHP,-0.9693685041669583
75,PGK,-0.9761054600680311
76,BZD,-0.9917517250536134
77,IQD,-1.0002114744658275
78,PLN,-1.0059115820694373
79,OMR,-1.014487792909921
80,LKR,-1.0164766042377018
81,MWK,-1.0217873022975803
82,KPW,-1.0276745632426663
83,JOD,-1.0290814932386432
84,ZWD,-1.0290815018689068
85,AWG,-1.0290815025644537
86,QAR,-1.029081504121028
87,BBD,-1.0290815048400932
88,ERN,-1.0290815053271685
89,SPL,-1.0290815064072174
90,SAR,-1.0290815117268834
91,BHD,-1.0290815119138885
92,SVC,-1.029081512119644
93,AED,-1.029081515907133
94,BSD,-1.0290815208157014
95,PAB,-1.0290815208157014
96,BMD,-1.0290815208157014
97,USD,-1.0290815208157014
98,CUC,-1.0290815208157014
99,SYP,-1.0406006138377346
100,YER,-1.042533349159684
101,MVR,-1.0502229161887664
102,NIO,-1.0544681473836457
103,XCD,-1.0591015184541341
104,MMK,-1.0676514572688516
105,KYD,-1.0755443340081237
106,AZN,-1.0815057755188402
107,DOP,-1.1116087906418863
108,LAK,-1.1161138847274792
109,GTQ,-1.1321496214924203
110,ANG,-1.147703777151439
111,IRR,-1.178362712057529
112,CNY,-1.213113155742266
113,MZN,-1.2248408259787609
114,TTD,-1.227244798373351
115,DZD,-1.2313002560105435
116,AUD,-1.236268448181461
117,TVD,-1.236268448181461
118,WST,-1.252846584087574
119,HNL,-1.2981900380388778
120,PEN,-1.325677338993744
121,XAU,-1.3313184488355911
122,SEK,-1.3510506732533423
123,TWD,-1.3630634913221882
124,LYD,-1.377251236653713
125,UAH,-1.4263531817155335
126,MAD,-1.440475017130746
127,SGD,-1.4423525935497035
128,BND,-1.4423525935497035
129,VUV,-1.4463069743643926
130,BRL,-1.4767337540340388
131,BDT,-1.4834418976495638
132,IDR,-1.5158822810297319
133,CUP,-1.5575876567526568
134,MGA,-1.6062033310148798
135,RON,-1.6251006089686826
136,TND,-1.6303131851359893
137,GNF,-1.6323975078426582
138,DKK,-1.690002998267677
139,MKD,-1.7042149995723659
140,STN,-1.7308373966729014
141,RSD,-1.7364805595198527
142,XAF,-1.7543949518373292
143,XOF,-1.7543949518373292
144,KMF,-1.7543949657731397
145,CVE,-1.754394974233965
146,BAM,-1.7543949763011986
147,BGN,-1.7543949763011986
148,XPF,-1.7543949809748005
149,EUR,-1.7543949871432658
150,AMD,-1.7573432758148804
151,UGX,-1.8145429532652957
152,CHF,-1.842852146823347
153,KHR,-1.8994870188040385
154,MRU,-1.9194528322602993
155,ALL,-1.969512593126101
156,SDG,-2.17351746379067
157,GEL,-2.2455020077218437
158,MDL,-2.488871073122982
159,CDF,-2.564100772209526
160,CZK,-2.831365660807512
161,KZT,-3.485080265099564
162,CRC,-4.139734301395002
163,HUF,-4.238754563288056
164,MXN,-4.45654348723745
165,CLP,-6.164182195079585
