,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id,rank
134,Lebanon,Lebanese Pound,LBP,14256.68971,4136.1,69.47499969262155,0.0087230333028052,0.29011643545126997,3.155690487122487,7.018494226632603,134,1
185,Syrian Arab Republic,Syrian Pound,SYP,4684.72,726.74,2.115261780754043,0.0520262095422811,0.15512986902098738,5.901620888931442,3.6093010279346682,185,2
203,Venezuela (Bolivarian Republic of),Bolivar Digital,VEF,17131.39,15975.7,18.13576519713779,5.38958865359e-05,0.9325396246305758,0.9817466747047222,3.5862292802488174,203,3
159,Pakistan,Pakistan Rupee,PKR,5748.005952,1505.0,8.215384128919634,0.4615800536207082,0.26182993068689153,3.496611992027285,3.553301528089661,159,4
206,Zambia,Kwacha,ZMW,3555.920229,1137.3,9.13204430378971,6.171435483686381,0.31983282153655984,2.8624881934038955,3.437052693307269,206,5
105,Egypt,Egyptian Pound,EGP,12706.40445,3698.8,7.434040563159323,4.228070069025991,0.2910972977882819,3.145057279704888,3.3572315563337787,105,6
183,Suriname,Surinam Dollar,SRD,16222.6757,4869.1,7.482676076052165,3.691751457908545,0.3001416098085472,3.0502857504344147,3.3312922711832966,183,7
170,Russian Federation,Russian Ruble,RUB,32862.62109,12194.8,7.141213527221563,1.6914848220716925,0.3710842165207218,2.4671425912299183,3.104047859590867,170,8
37,Argentina,Argentine Peso,ARS,23649.6703,10636.1,8.276056855292465,0.6353386440328695,0.44973565656854,2.0356795422822613,3.080744559311088,37,9
201,Uzbekistan,Uzbekistan Sum,UZS,8497.448308,1983.2,2.594747951574455,0.0114585013305716,0.23338770982965534,3.922733018716685,3.0295589181321887,201,10
132,Kyrgyzstan,Som,KGS,5289.687125,1276.7,2.890897952522427,1.4952685524443154,0.24135642994196937,3.793218501498305,3.0282347356823114,132,11
182,Sudan,Sudanese Pound,SDG,4065.976074,751.8,-0.20327136329099166,0.2309514858021825,0.1849002518257317,4.951413891930944,2.915171758927191,182,12
188,Tajikistan,Somoni,TJS,3903.32,1279.61,4.281416729410452,11.976557722081829,0.32782605576791035,2.7926934403274304,2.8819714149872113,188,13
