,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,PPP,Final score
186,Syrian Arab Republic,Syrian Pound,SYP,4684.72,726.74,-1.0406006138377346,0.15512986902098738,4.129179500609915
134,Lebanon,Lebanese Pound,LBP,14256.68971,4136.1,83.72568893022002,0.29011643545126997,3.9782702479028593
183,Sudan,Sudanese Pound,SDG,4065.976074,751.8,-2.17351746379067,0.1849002518257317,3.507945287034684
159,Pakistan,Pakistan Rupee,PKR,5748.005952,1505.0,5.626755159612441,0.26182993068689153,3.1840049794021277
0,Afghanistan,Afghan Afghani,AFN,1665.805842,368.8,-0.8451240868240941,0.2213943490300234,3.180198641969374
105,Egypt,Egyptian Pound,EGP,12706.40445,3698.8,9.24597447332413,0.2910972977882819,3.1165889805541314
132,Kyrgyzstan,Som,KGS,5289.687125,1276.7,0.8096875663216258,0.24135642994196937,3.1097098992142893
202,Uzbekistan,Uzbekistan Sum,UZS,8497.448308,1983.2,-0.46056221284557464,0.23338770982965534,3.093681721391785
177,Sierra Leone,Leone,SLL,1773.899246,480.0,3.7148740032387364,0.27059033994312887,3.0412314601768373
123,Iran (Islamic Republic of),Iranian Rial,IRR,16484.07536,4091.2,-1.178362712057529,0.2481910517060388,2.9092736891881943
184,Suriname,Surinam Dollar,SRD,16222.6757,4869.1,2.509848778206818,0.3001416098085472,2.8006028547409008
60,Bhutan,Ngultrum,BTN,11983.31697,3266.4,-0.3625302294616803,0.2725789535716504,2.7929136695754107
207,Zambia,Kwacha,ZMW,3555.920229,1137.3,4.495507102693844,0.31983282153655984,2.7913854946368737
137,Libya,Libyan Dinar,LYD,24130.82983,6357.2,-1.377251236653713,0.2634472185493009,2.7757144222019843
182,Sri Lanka,Sri Lanka Rupee,LKR,14706.54132,4013.7,-1.0164766042377018,0.27291937054850635,2.740082386780283
150,Myanmar,Kyat,MMK,4430.222427,1209.9,-1.0676514572688516,0.2731014119350446,2.7346816709031785
152,Nepal,Nepalese Rupee,NPR,4209.759393,1208.2,-0.36253022804916424,0.28699977533371585,2.7007444020289784
67,Burundi,Burundi Franc,BIF,774.5428909,221.5,-0.7620213124284675,0.2859751249444978,2.676721602576527
111,Gambia,Dalasi,GMD,2646.0,772.2,-0.8340641627812759,0.29183673469387755,2.635946154524146
29,Angola,Kwanza,AOA,6491.125578,1953.5,-0.49116095562654905,0.30094934638468335,2.6104455158150826
133,Lao People's DR,Kip,LAK,8620.647618,2535.6,-1.1161138847274792,0.29413103427469195,2.599792092171365
170,Russian Federation,Russian Ruble,RUB,32862.62109,12194.8,5.0113225741137,0.3710842165207218,2.597116099925768
189,Tajikistan,Somoni,TJS,3903.32,1279.61,1.121752846970343,0.32782605576791035,2.5824788361670423
121,India,Indian Rupee,INR,7241.98423,2256.6,-0.3625302294616803,0.3115996843312651,2.5632056943454495
106,Eritrea,Nakfa,ERN,2102.95,643.8,-1.0290815053271685,0.3061413728334007,2.5402456154892237
206,Yemen,Yemeni Rial,YER,2285.0,701.7,-1.042533349159684,0.30708971553610503,2.5341044243757276
187,T?rkiye,New Turkish Lira,TRY,30737.0175,9661.2,-0.579283762758675,0.3143180694093043,2.533134782157114
205,Viet Nam,Dong,VND,11676.10856,3756.5,-0.6797407234613532,0.3217253403132113,2.488823509444723
171,Rwanda,Rwanda Franc,RWF,2459.707347,822.3,0.049533968699810776,0.33430806351939557,2.4836186213583282
140,Madagascar,Malagasy Ariary,MGA,1607.935225,500.5,-1.6062033310148798,0.31126875773245155,2.463946160362875
82,Colombia,Colombian Peso,COP,16819.17629,6104.1,1.5682781604595752,0.3629250264550263,2.4612185945518568
49,Belarus,Belarussian Ruble,BYN,21698.57409,7302.3,-0.5738684667308861,0.3365336344089696,2.428536073374442
147,Mongolia,Tugrik,MNT,12818.87945,4566.1,0.5817589885242158,0.35620118106345094,2.42728562293835
113,Ghana,Cedi,GHS,5435.24,2363.3,5.5072015983285,0.4348106063393705,2.4195990542385113
154,Nicaragua,Cordoba Oro,NIO,6194.70035,2045.5,-1.0544681473836457,0.33020160531251525,2.419166421771142
38,Armenia,Armenian Dram,AMD,15592.48736,4966.5,-1.7573432758148804,0.31851877672453666,2.4135984787387725
37,Argentina,Argentine Peso,ARS,23649.6703,10636.1,5.976672427687432,0.44973565656854,2.3996272199455353
2,Algeria,Algerian Dinar,DZD,11039.81,3690.6,-1.2313002560105435,0.3342992315990946,2.3859210603913437
44,Azerbaijan,Azerbaijanian Manat,AZN,15854.55084,5388.0,-1.0815057755188402,0.33983933410503353,2.374005885375321
122,Indonesia,Rupiah,IDR,13027.30061,4332.7,-1.5158822810297319,0.33258616882411834,2.369047093517472
204,Venezuela (Bolivarian Republic of),Bolivar Digital,VEF,17131.39,15975.7,30.212293751143992,0.9325396246305758,2.3466910066267532
198,Ukraine,Hryvnia,UAH,14219.79004,4835.6,-1.4263531817155335,0.34006127983588713,2.3438636909235346
145,Mauritius,Mauritius Rupee,MUR,23035.283,9106.2,1.4670522360870002,0.395315308259942,2.342506916482299
107,Eswatini,Lilangeni,SZL,9730.068125,3978.4,2.1457854966180885,0.40887689057161664,2.338404780766145
155,Nigeria,Naira,NGN,5407.979457,2065.7,0.6682779187308089,0.3819726048193825,2.338132723984685
112,Georgia,Lari,GEL,15486.66,5023.3,-2.2455020077218437,0.32436303244211473,2.338002810619232
193,Tunisia,Tunisian Dinar,TND,11282.48463,3807.1,-1.6303131851359893,0.3374345390089842,2.3372124886567214
180,Somalia,Somali Shilling,SOS,1248.812487,447.0,-0.7993689458507619,0.35794004676700514,2.3222744221682565
69,Cambodia,Riel,KHR,4783.903614,1625.2,-1.8994870188040385,0.3397225636494607,2.3023008233161035
108,Ethiopia,Ethiopian Birr,ETB,2547.716814,925.1,-0.9297088754474901,0.3631094299478137,2.292042411407299
190,Thailand,Baht,THB,18760.75522,7066.2,-0.4999206911978781,0.3766479503163626,2.275879163697422
142,Malaysia,Malaysian Ringgit,MYR,28929.4742,11109.3,-0.18605354766642132,0.38401320131839795,2.273428960656463
