,USD,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,NZD,THB,HUF,AED,HKD,MXN,ZAR,PHP,SEK,IDR,BRL,SAR,TRY,KES,KRW,EGP,IQD,NOK,KWD,RUB,DKK,PKR,ILS,PLN,QAR,XAU,OMR,COP,CLP,TWD,ARS,CZK,VND,MAD,JOD,BHD,XOF,LKR,UAH,NGN,TND,UGX,RON,BDT,PEN,GEL,XAF,FJD,VEF,VES,BYN,UZS,BGN,DZD,IRR,DOP,ISK,CRC,XAG,SYP,JMD,LYD,GHS,MUR,AOA,UYU,AFN,LBP,XPF,TTD,TZS,ALL,XCD,GTQ,NPR,BOB,ZWD,BBD,CUC,LAK,BND,BWP,HNL,PYG,ETB,NAD,PGK,SDG,MOP,BMD,NIO,BAM,KZT,PAB,GYD,YER,MGA,KYD,MZN,RSD,SCR,AMD,AZN,SBD,SLL,TOP,BZD,GMD,MWK,BIF,HTG,SOS,GNF,MNT,MVR,CDF,STN,TJS,KPW,KGS,LRD,LSL,MMK,GIP,XPT,MDL,CUP,KHR,MKD,VUV,ANG,MRU,SZL,CVE,SRD,SVC,XPD,BSD,XDR,RWF,AWG,BTN,DJF,KMF,ERN,FKP,SHP,SPL,WST,JEP,TMT,GGP,IMP,TVD,ZMW
5/9/2022,140.4873955,139.522413,161.8299758,1.760638062,95.56892232,106.9486261,100.0586552,143.3628812,31.40068112,1.0,20.2605648,85.66022313,3.840101614,0.345252047,38.25388577,17.8982973,7.039028856,8.19151094,2.46665203,13.01413453,0.009442342,27.2265327,37.46330547,7.707277999,1.167848059,0.102401721,7.304185717,0.096323526,14.10840737,455.2871434,2.286346253,18.76140092,0.640632806,41.27957569,29.57353498,38.59543833,240334.7075,364.820112,0.031362585,0.162071761,4.575391448,1.002297657,5.671604231,0.006014781,13.21480285,198.1486537,373.6366902,0.212700547,0.390229328,3.803821796,0.331805663,43.5604625,0.036813635,28.89312816,1.478497086,36.17097472,49.04522256,0.212700547,63.01945606,0.000177247,17.72466381,55.64056081,0.012786565,71.33667699,0.998673309,0.003316657,2.651198026,0.979030945,0.220646833,2548.511442,0.055914691,0.930867912,28.44041097,14.13186916,3.135155714,0.329131014,3.442629597,1.592816219,0.093192302,1.169197821,20.73918747,0.060259495,1.190740793,52.03240491,18.14355126,1.099883219,20.34153578,0.388193964,70.24369775,140.4873955,0.009017582,100.0586552,10.98237387,5.695012909,0.020359004,2.656056288,8.19151094,39.89897653,0.243481979,17.37698767,140.4873955,3.90492407,71.33667699,0.297224052,140.4873955,0.67283145,0.561297844,0.033309978,171.3261443,2.200516446,1.188941034,10.79042457,0.349056803,82.52125693,17.28002227,0.010113895,59.44046309,69.71669706,2.548176401,0.137218175,0.067995095,1.185919527,0.247325184,0.016217542,0.043703061,9.158192539,0.069014705,5.694381849,13.87666806,0.1560944,1.735034146,0.912277588,8.19151094,0.066869359,161.8299758,119359.8942,7.253958356,5.852563535,0.034189967,2.264457111,1.174800518,78.48464332,3.697634246,8.19151094,1.265279885,5.53209054,16.05570234,284900.9312,140.4873955,182.0847325,0.135118277,78.4845785,1.760638062,0.790099337,0.28360073,9.365826367,161.8299758,161.8299758,842.9243764,51.40555675,161.8299758,40.09855099,161.8299758,161.8299758,95.56892232,9.122539535
6/9/2022,142.9597804,141.6765113,165.0650694,1.790157901,96.49213116,108.9501456,101.6642188,145.2427067,31.76911011,1.0,20.55547913,86.50209883,3.899404202,0.351030585,38.92710154,18.2119865,7.106247437,8.280769046,2.504794168,13.24269796,0.009597246,27.33111623,38.12260811,7.845161199,1.18844934,0.10362117,7.424264154,0.098025353,14.29473408,462.7101491,2.324681743,19.05196839,0.642796052,41.84768249,29.98500953,39.27466495,243482.9421,371.289311,0.031934574,0.160784733,4.638627331,1.017317022,5.752839842,0.006081043,13.42163121,201.6357975,380.212182,0.215984449,0.397093752,3.871385975,0.335752983,44.24154211,0.037435025,29.23239977,1.505489617,36.85681263,49.90409612,0.215984449,63.90208849,0.000180579,18.05786848,56.7299518,0.013046555,72.43804998,1.014559345,0.003377004,2.697258824,1.001169801,0.22424031,2583.530897,0.056898968,0.948875018,28.99338299,14.38061463,3.236689215,0.334922662,3.50954262,1.621728609,0.094832358,1.187249165,21.12995564,0.061333857,1.207926103,52.94663838,18.47207287,1.118324473,20.71140424,0.395025644,71.47989021,142.9597804,0.009149503,101.6642188,11.07702655,5.814059289,0.020698437,2.711699913,8.280769046,40.74357592,0.245703264,17.68154029,142.9597804,3.98332014,72.43804998,0.302289656,142.9597804,0.684956843,0.571165103,0.034000465,174.3408431,2.238152437,1.2072646,9.852519081,0.355147281,84.09697229,17.58373814,0.010283548,60.42575999,70.99217984,2.594936611,0.139544633,0.069805096,1.206438703,0.251635008,0.01656908,0.044466583,9.27409448,0.07028807,5.790502073,14.1086228,0.158847792,1.763783292,0.928391405,8.280769046,0.06810981,165.0650694,121928.0468,7.383674159,5.959682481,0.034770979,2.308936092,1.197174687,79.86971093,3.795932929,8.280769046,1.284814648,5.569691384,16.33826062,286576.8927,142.9597804,184.9237859,0.138290433,79.86579912,1.790157901,0.803928013,0.287979265,9.530652028,165.0650694,165.0650694,857.758686,52.35249577,165.0650694,40.92064892,165.0650694,165.0650694,96.49213116,9.266738708
7/9/2022,144.3721844,143.4971835,165.5884546,1.808642408,97.15975429,109.6567158,102.5927444,147.1834354,32.0790955,1.0,20.72416942,87.11002254,3.945064336,0.360549021,39.31169078,18.39157658,7.206832284,8.325634693,2.525750666,13.41414619,0.009672854,27.50720399,38.49924917,7.918731244,1.199801831,0.104565913,7.491850955,0.098910023,14.36855097,466.7488842,2.365929595,19.29709999,0.642762542,42.07403069,30.4101127,39.66268802,246940.2233,374.9518355,0.032491766,0.163308478,4.67317301,1.025352751,5.832540189,0.006157606,13.57489465,203.6279046,383.9685755,0.218760046,0.401021786,3.915969519,0.338811984,44.70264966,0.03785142,29.54445913,1.518810397,37.07103636,50.573556,0.218760046,64.4182507,0.000181528,18.15279875,57.1791611,0.013100093,73.3689449,1.026783384,0.003403339,2.718400353,1.019865674,0.226699686,2638.280953,0.05747656,0.959800181,29.14261468,14.48779196,3.284420826,0.338225717,3.528662181,1.633153639,0.095769277,1.202506398,21.30860153,0.06190058,1.215388337,53.47124988,18.62103545,1.129871878,20.89580694,0.39892839,72.1860922,144.3721844,0.009160361,102.5927444,11.15358163,5.875765705,0.020903742,2.731518657,8.325634693,41.00227051,0.248137607,17.85589959,144.3721844,4.012660112,73.3689449,0.30467769,144.3721844,0.691101322,0.577045189,0.0342637,176.0639656,2.261353992,1.223421932,10.73222978,0.358558159,84.92783258,17.75689493,0.010390404,61.02557147,71.61737161,2.625371917,0.140573833,0.071425811,1.218743292,0.2538889,0.016655084,0.04490728,9.423177303,0.070947786,5.83732092,14.13004999,0.160417925,1.775009119,0.937538977,8.325634693,0.068731233,165.5884546,124209.8858,7.443661693,6.012253437,0.03521481,2.325858169,1.202365584,80.65522386,3.819336942,8.325634693,1.301325687,5.548629949,16.49967822,291981.1543,144.3721844,186.7250626,0.139453466,80.65485162,1.808642408,0.812127649,0.291680061,9.624812293,165.5884546,165.5884546,866.2331098,52.78112138,165.5884546,41.3254661,165.5884546,165.5884546,97.15975429,9.321529753
8/9/2022,144.0368798,143.4192409,165.4337629,1.807008459,97.0858084,109.811754,102.4145659,148.10528,32.00236766,1.0,20.70174092,87.10163015,3.94607296,0.361273146,39.22038931,18.35009299,7.204962681,8.236988254,2.525483399,13.40479682,0.009666543,27.59186335,38.4098346,7.891942836,1.197647481,0.10392699,7.45378708,0.098745922,14.29434983,466.3778759,2.362238984,19.28726056,0.644849331,41.91606923,30.49738216,39.57057136,245956.2757,374.1297627,0.032807153,0.163712052,4.657998126,1.020289355,5.848828473,0.006107158,13.42216847,203.1549785,383.0768078,0.218641223,0.395710547,3.899828964,0.337379224,44.67899305,0.037738071,29.40343608,1.516076598,37.14758396,50.54441447,0.218641223,64.32615652,0.000181159,18.11592729,57.15851832,0.013145793,73.32909348,1.021306647,0.003403551,2.719850398,1.023695901,0.219881904,2660.79608,0.057325617,0.954423197,29.31730145,14.4260495,3.253424316,0.337029089,3.517845512,1.631725745,0.095546852,1.201853239,21.25488682,0.06179029,1.224202882,53.3467881,18.5771371,1.128851138,20.85741152,0.398001878,72.01843988,144.0368798,0.009182686,102.4145659,11.09864568,5.86084119,0.020872279,2.734795357,8.236988254,41.13679613,0.249592434,17.81562426,144.0368798,4.017612597,73.32909348,0.302775018,144.0368798,0.689804441,0.57545922,0.034275721,175.6541104,2.255064593,1.22218602,10.56565725,0.357544971,84.73057411,17.71533095,0.010370093,60.76666977,71.49177035,2.64336254,0.141026939,0.069945968,1.207324181,0.253318425,0.01671478,0.044832466,9.361524677,0.070812616,5.865937066,14.23021552,0.160034721,1.758952372,0.935356983,8.236988254,0.06858459,165.4337629,124692.7708,7.424994355,6.001562753,0.035057354,2.338387152,1.200035269,80.47142744,3.847385923,8.236988254,1.300618853,5.479547282,16.46135769,298924.5329,144.0368798,186.4484585,0.139561744,80.46753059,1.807008459,0.81020953,0.291521631,9.60245865,165.4337629,165.4337629,864.221282,52.61947883,165.4337629,41.24908829,165.4337629,165.4337629,97.0858084,9.306105984
9/9/2022,142.4722529,143.1132734,165.2173761,1.789577344,97.50185428,109.268497,101.8489763,148.2905954,31.4395146,1.0,20.56926843,87.08632404,3.916343721,0.360743358,38.7943507,18.15117849,7.162816807,8.25168026,2.508501342,13.42219117,0.009607499,27.62764121,37.99260078,7.819629809,1.183966337,0.103386625,7.371823831,0.097574681,14.3696681,461.9665605,2.351196033,19.2440849,0.620199022,41.78926778,30.43859892,39.14072883,244590.0503,370.0385059,0.032663698,0.160322954,4.620129655,1.007784228,5.82791004,0.006066458,13.25025345,200.9481706,378.9155663,0.218174779,0.395719894,3.86405098,0.33346142,44.4541979,0.037351871,29.20768777,1.499333535,36.7734911,50.17110454,0.218174779,64.13364181,0.000179017,17.90170803,56.53694206,0.013024441,73.17265479,1.009998001,0.003384541,2.687785035,1.016968004,0.217871299,2675.975843,0.056704902,0.945752855,28.73049991,14.22518506,3.171163845,0.333375822,3.492430919,1.614126289,0.094508957,1.199289231,21.00179955,0.061105879,1.219347081,52.76669546,18.33742626,1.117961795,20.62673726,0.39367851,71.23612646,142.4722529,0.009062376,101.8489763,11.00472682,5.782970849,0.020600785,2.698847536,8.25168026,40.63275264,0.24689965,17.62250339,142.4722529,3.965182213,73.17265479,0.30133752,142.4722529,0.682178646,0.569436381,0.033878524,173.7464936,2.231732519,1.219659823,10.42151493,0.353459203,83.81017697,17.52382445,0.010253595,60.07440466,70.70293979,2.619318638,0.139167777,0.069072276,1.192304872,0.251035778,0.016311674,0.044195388,9.259837399,0.070061066,5.784938486,13.86837103,0.15830586,1.735881324,0.92784763,8.25168026,0.067837254,165.2173761,123439.65,7.348362238,5.935297619,0.034625693,2.319244755,1.189318865,79.59791386,3.782763236,8.25168026,1.297844141,5.362213153,16.28254319,292394.317,142.4722529,185.2389804,0.137680036,79.59343739,1.789577344,0.801398498,0.290899705,9.498150195,165.2173761,165.2173761,854.833521,51.93161814,165.2173761,41.3835939,165.2173761,165.2173761,97.50185428,9.104720117
10/9/2022,142.5596464,144.0826998,165.3106593,1.789202877,97.51588481,109.4023566,101.8686876,148.5374535,31.70031961,1.0,20.58834435,87.06517503,3.921869039,0.36100421,38.81814741,18.16251469,7.167558241,8.269958594,2.508936952,13.41474566,0.009611216,27.64628308,38.0159057,7.818667494,1.184072934,0.103320851,7.379721002,0.097668145,14.36283555,461.4025378,2.345297735,19.25044888,0.632142712,41.84188935,30.520672,39.16473801,244789.6875,370.2409443,0.032742226,0.157024439,4.614391315,1.009526913,5.831590777,0.006061101,13.26184167,201.0714335,379.1479957,0.21965266,0.39807125,3.856727211,0.333631543,44.63788936,0.037334388,29.24946947,1.498865395,36.93102999,50.10824207,0.21965266,63.82549488,0.000178483,17.84827345,56.46768088,0.012995429,73.66831464,1.009281295,0.003391242,2.678849678,1.017875637,0.218621887,2680.118875,0.05673946,0.954026606,28.80315,14.38745669,3.151829501,0.3327969,3.491781112,1.614401441,0.09456693,1.207413025,21.07737424,0.061168811,1.219477783,52.79179248,18.29440337,1.117727863,20.59353685,0.393919996,71.27982319,142.5596464,0.009018791,101.8686876,11.01168811,5.804794197,0.020539367,2.713702867,8.269958594,40.50149202,0.25129057,17.63350941,142.5596464,3.962241417,73.66831464,0.301610198,142.5596464,0.679229307,0.569717635,0.034503923,173.8518567,2.238011424,1.22017306,9.676077015,0.35369256,83.85893039,17.39936403,0.009969965,60.34537588,70.7428272,2.610928027,0.139598663,0.069640444,1.211492121,0.25120755,0.016425009,0.044204409,9.12405964,0.071271022,5.842016731,13.87618258,0.158399598,1.736975319,0.925855458,8.269958594,0.068016171,165.3106593,123213.7677,7.355327492,5.974212315,0.034667105,2.323807749,1.199077804,79.76223254,3.766085776,8.269958594,1.306635529,5.412040794,16.29253101,293857.3375,142.5596464,185.6633985,0.137694036,79.64226054,1.789202877,0.800898193,0.292870213,9.503976425,165.3106593,165.3106593,855.3578817,52.43317,165.3106593,42.42856407,165.3106593,165.3106593,97.51588481,9.140979375
11/9/2022,142.4865887,143.8323972,165.3018995,1.788376426,97.18142115,109.4823605,101.9137481,148.5830669,31.67444623,1.0,20.58186866,87.13568049,3.919828583,0.36076687,38.79825425,18.15400317,7.162311807,8.224521131,2.507591339,13.40660889,0.0096062,27.67897792,37.99642366,7.816251358,1.183462342,0.103259875,7.366728525,0.097619402,14.41514519,461.1196118,2.343149591,19.24717286,0.631945041,41.76341077,30.52729109,39.14466723,244688.0397,370.0485785,0.032741686,0.157054688,4.611842693,1.007787315,5.829788941,0.006058103,13.24970995,200.9683903,378.9536934,0.219271076,0.39786725,3.854667832,0.333462566,44.61796592,0.037314557,29.22984781,1.497895288,36.8001032,50.0849079,0.219271076,63.70844579,0.000178373,17.83731095,56.43062599,0.012988753,73.54033693,1.007907072,0.0033905,2.677316283,1.017435631,0.218588728,2683.249538,0.056710392,0.95406217,28.80380916,14.38907034,3.146208068,0.332626351,3.489616427,1.61549657,0.094518467,1.205315488,21.06509343,0.061140108,1.21887283,52.77280942,18.27142603,1.117211573,20.57593698,0.393718123,71.24329436,142.4865887,0.009017052,101.9137481,11.00604494,5.80064936,0.020521635,2.711488855,8.224521131,40.47935834,0.252039414,17.6252458,142.4865887,3.960145056,73.54033693,0.301491728,142.4865887,0.678552609,0.569422608,0.034508791,173.7633364,2.236857271,1.219542707,9.635105306,0.353511303,83.81595514,17.39043897,0.009964355,60.31445377,70.70594729,2.609638552,0.139515434,0.069696443,1.212671556,0.251068736,0.016426305,0.044184218,9.092955361,0.071238173,5.839713418,13.86907144,0.158318432,1.73608517,0.925307635,8.224521131,0.067990782,165.3018995,125417.914,7.35205915,5.958085587,0.034656551,2.323277063,1.198462432,79.72168012,3.762517111,8.224521131,1.304365622,5.350707374,16.28418157,307244.9295,142.4865887,185.5682514,0.137630094,79.60144621,1.788376426,0.800487563,0.292361435,9.499105915,165.3018995,165.3018995,854.9195357,52.40626824,165.3018995,42.40682067,165.3018995,165.3018995,97.18142115,9.1335727
12/9/2022,142.4495915,144.2103971,166.5870704,1.794687955,98.07299542,109.7542124,102.0698699,149.6041408,31.66407295,1.0,20.56662596,87.61792958,3.926896119,0.362654829,38.78818011,18.1488167,7.193341265,8.316416526,2.510400463,13.57157906,0.009588731,27.87460484,37.98655773,7.813638419,1.183141535,0.103626194,7.356026857,0.097608957,14.46012606,462.1949032,2.349932276,19.39242477,0.615648154,42.314145,30.71638553,39.13450315,247048.6795,370.0254083,0.032687932,0.158121875,4.614715835,1.001249003,5.883571964,0.006043618,13.29708141,200.916208,378.8552965,0.219847333,0.395629592,3.858823151,0.333127129,44.68486023,0.037385216,29.34759034,1.500502208,36.69431994,50.3385401,0.219847333,63.70935376,0.000178453,17.84531804,56.41794206,0.012991779,73.7336052,1.01098734,0.003364064,2.698609152,1.023299034,0.21864436,2841.737397,0.056709014,0.946568793,28.84539772,14.21254757,3.167114812,0.333298846,3.498207157,1.614863245,0.094493925,1.208483127,21.09243937,0.061109501,1.227195077,52.76128979,18.41817228,1.121154431,20.63972164,0.393615892,71.22479573,142.4495915,0.009114892,102.0698699,11.01902925,5.793334972,0.020631197,2.708183375,8.316416526,40.45622113,0.247610128,17.62021039,142.4495915,3.99488886,73.7336052,0.301165899,142.4495915,0.682568439,0.569252998,0.034031855,173.7192959,2.22507367,1.229146186,10.58831142,0.353268091,83.88078778,17.52208408,0.010250419,60.32496447,70.75719557,2.608801449,0.139375615,0.069444212,1.194737024,0.251023299,0.01651393,0.044068853,9.254407614,0.070198393,5.88146163,14.09628474,0.158280004,1.737669114,0.925628325,8.316416526,0.067925001,166.5870704,124676.5447,7.366418372,5.940623803,0.034690243,2.344932624,1.197605196,79.58927496,3.781425539,8.316416526,1.307793571,5.264045475,16.27995331,300194.0033,142.4495915,185.9032637,0.137650991,79.58077736,1.794687955,0.801248438,0.293129777,9.496639431,166.5870704,166.5870704,854.6975522,52.26809719,166.5870704,41.35816554,166.5870704,166.5870704,98.07299542,9.1348641
13/9/2022,144.2780721,144.2891325,166.3286528,1.815182259,97.6013095,109.9450594,102.6319422,150.1568799,32.00830074,1.0,20.8359436,86.76933873,3.946016984,0.361830022,39.28606455,18.381101,7.188787967,8.297318303,2.529524327,13.55581869,0.009655434,27.82300381,38.47415255,7.905160106,1.19794912,0.103623122,7.4603118,0.098889328,14.3353642,467.1782455,2.388984873,19.40354417,0.616566249,42.157698,30.55593284,39.63683299,245469.9053,374.8603953,0.032594489,0.157176763,4.636714715,1.011932649,5.879378812,0.006103314,13.42621983,203.4951651,383.7182768,0.219967364,0.395846206,3.909610581,0.337098361,44.85039792,0.03783375,29.32095202,1.520656185,37.41027663,50.98602631,0.219967364,64.95035731,0.000181048,18.10475112,57.14326157,0.013166402,73.77386198,1.01896552,0.003417506,2.700339884,1.029639285,0.221873621,2807.170691,0.05742837,0.957854755,29.22924997,14.35880048,3.191529106,0.33755659,3.537394031,1.635543809,0.095706847,1.20914293,21.28229147,0.061919597,1.246217109,53.43779996,18.56228227,1.133957369,20.91137396,0.39866834,72.13903604,144.2780721,0.009163444,102.6319422,11.16221112,5.855511219,0.020848053,2.743043012,8.297318303,40.97983769,0.250924684,17.84572913,144.2780721,4.013394986,73.77386198,0.305359052,144.2780721,0.691396651,0.576681502,0.034614209,175.9509645,2.258974715,1.229830782,9.972538455,0.357593166,84.79834219,17.73902968,0.010364436,61.12384766,71.69232985,2.645281035,0.140972366,0.070003351,1.20922584,0.254256514,0.016694397,0.044559598,9.357443283,0.070976351,5.925432964,14.2625651,0.160333234,1.762130334,0.937858246,8.297318303,0.068804148,166.3286528,129071.0044,7.470481656,6.020311719,0.035059087,2.363940718,1.219052469,80.61714313,3.816451353,8.297318303,1.308507595,5.359078828,16.48892252,308096.7582,144.2780721,187.150945,0.139172211,80.6022749,1.815182259,0.811496831,0.293289819,9.618538139,166.3286528,166.3286528,865.6684359,53.07429715,166.3286528,41.29484389,166.3286528,166.3286528,97.6013095,9.271576492
14/9/2022,142.9115509,142.7895228,165.2576654,1.7994018,96.49955792,108.6494141,101.6960609,148.6782788,31.56959844,1.0,20.52637615,85.94325778,3.903676097,0.35239352,38.91396893,18.20817179,7.160870518,8.183407895,2.503543511,13.36721912,0.009590092,27.60369027,38.1097469,7.835045379,1.18703693,0.102687611,7.377241988,0.097924812,14.1617878,462.8866994,2.384292573,19.20123696,0.607997091,41.72928377,30.27244491,39.26141508,243409.2679,371.2477909,0.032548869,0.155322241,4.597506037,1.000206651,5.825930777,0.006050983,13.26430038,201.5677728,380.0839119,0.217681224,0.391223315,3.869042677,0.333655594,44.30590403,0.037445605,28.98370966,1.506350503,37.07060559,50.58667641,0.217681224,63.76789415,0.000179003,17.90034314,56.71197508,0.013111907,73.00712371,1.014422553,0.003391504,2.629654843,1.024980572,0.220655968,2805.494822,0.056890676,0.948916963,28.4150564,14.10707629,3.166306819,0.331419318,3.503977761,1.620225508,0.094800365,1.196576201,21.06587101,0.061328694,1.219575661,52.93177974,18.34396682,1.124099203,20.70865813,0.394892376,71.45577544,142.9115509,0.008919527,101.6960609,10.98966541,5.68977659,0.020571616,2.657221131,8.183407895,40.58822604,0.248335579,17.67783669,142.9115509,3.903052315,73.00712371,0.301865639,142.9115509,0.684494672,0.571185791,0.033223748,174.2840444,2.237624478,1.217078041,9.880669399,0.353250208,84.0680247,17.59201231,0.010278992,60.14873149,71.30122369,2.620379771,0.139607941,0.067947072,1.197888765,0.251851423,0.016223149,0.044139201,9.304196126,0.0702769,5.828287529,14.10542472,0.158797167,1.748579043,0.929079715,8.183407895,0.068087387,165.2576654,127782.6981,7.387198,5.956832897,0.034158121,2.316929453,1.205895755,79.84404788,3.710869109,8.183407895,1.29490816,5.271087654,16.33274867,304967.8832,142.9115509,185.4437943,0.135462111,79.83885524,1.7994018,0.803855328,0.290241632,9.527436726,165.2576654,165.2576654,857.4693088,51.89225911,165.2576654,40.89436946,165.2576654,165.2576654,96.49955792,9.173166232
