,USD,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,NZD,THB,HUF,AED,HKD,MXN,ZAR,PHP,SEK,IDR,BRL,SAR,TRY,KES,KRW,EGP,IQD,NOK,KWD,RUB,DKK,PKR,ILS,PLN,QAR,XAU,OMR,COP,CLP,TWD,ARS,CZK,VND,MAD,JOD,BHD,XOF,LKR,UAH,NGN,TND,UGX,RON,BDT,PEN,GEL,XAF,FJD,VEF,VES,BYN,UZS,BGN,DZD,IRR,DOP,ISK,CRC,XAG,SYP,JMD,LYD,GHS,MUR,AOA,UYU,AFN,LBP,XPF,TTD,TZS,ALL,XCD,GTQ,NPR,BOB,ZWD,BBD,CUC,LAK,BND,BWP,HNL,PYG,ETB,NAD,PGK,SDG,MOP,BMD,NIO,BAM,KZT,PAB,GYD,YER,MGA,KYD,MZN,RSD,SCR,AMD,AZN,SBD,SLL,TOP,BZD,GMD,MWK,BIF,HTG,SOS,GNF,MNT,MVR,CDF,STN,TJS,KPW,KGS,LRD,LSL,MMK,GIP,XPT,MDL,CUP,KHR,MKD,VUV,ANG,MRU,SZL,CVE,SRD,SVC,XPD,BSD,XDR,RWF,AWG,BTN,DJF,KMF,ERN,FKP,SHP,SPL,WST,JEP,TMT,GGP,IMP,TVD,ZMW
2022-08-02,1308.777868,1334.175164,1599.439164,16.67367619,910.0110293,1018.179735,948.2265126,1371.490547,293.8182441,9.887397426,193.8269225,822.0321079,36.27227624,3.355107879,356.3724624,166.7323719,63.77540255,78.52843709,23.57663514,128.2523689,0.088080324,249.73872,349.0074315,72.93133939,10.99698176,1,68.74313166,0.897321874,134.4529924,4268.279845,21.74985297,179.2404322,5.485195881,388.2684713,283.0903543,359.5543594,2326759.182,3403.84361,0.30410466,1.448726367,43.76707684,9.899511526,54.12279487,0.056146696,127.0051131,1845.949038,3480.792203,2.033936926,3.632904408,35.4605441,3.143262734,417.8072215,0.33750429,270.7352971,13.82504238,333.9460176,480.3265146,2.033936926,596.9878001,0.002268536,226.8535964,519.3699458,0.119357662,682.1529295,8.983233452,0.030937646,24.01854789,9.588074339,1.958076715,26504.62876,0.520906124,8.561905472,269.3766551,153.3235162,28.4000954,3.057102139,32.17437054,14.57572645,0.86817769,11.18038788,193.0453751,0.561426114,11.52378558,484.7325277,169.3784749,10.41616504,190.6857743,3.616407483,654.3889341,1308.777868,0.086493417,948.2265126,104.6291645,53.32540183,0.190992921,25.07281801,78.52843709,371.6979343,2.302527245,161.8760892,1308.777868,36.56762252,682.1529295,2.759134325,1308.777868,6.267291352,5.229012799,0.312086847,1596.067605,20.52004839,11.36487785,92.06691063,3.243374965,769.8966277,160.9142173,0.094098201,561.1165603,649.9976262,23.99413508,1.281421459,0.641486444,11.08372758,2.316632493,0.149239441,0.410719174,84.85421207,0.65441198,55.1396845,128.2401676,1.454218912,15.74201001,8.507524594,78.52843709,0.706974876,1599.439164,1196568.311,67.85194912,54.13087927,0.318375703,21.75357269,11.1978543,731.3539804,34.73962744,78.52843709,12.09916717,53.92925188,149.5746135,2726617.998,1308.777868,1731.068845,1.272214925,731.1608202,16.67367619,7.360503408,2.711915901,87.25185788,1599.439164,1599.439164,7852.66724,485.8565594,1599.439164,374.6464529,1599.439164,1599.439164,910.0110293,81.66690284
2022-08-03,1309.953927,1328.431018,1588.836302,16.554434,907.5284021,1017.832911,947.9267149,1359.724987,293.9347194,9.75940889,193.8610831,818.5473608,36.10514006,3.366378592,356.6926963,166.87466,63.69073214,77.96072876,23.50445711,128.0566916,0.08807522,248.4336126,349.3210473,72.88584162,10.99742713,1,68.66300554,0.89823221,134.5883269,4268.335414,21.42823096,178.4735786,5.75446507,389.4140838,282.8624181,359.8774526,2302989.234,3406.902282,0.302341718,1.444465051,43.68337474,9.892799467,53.88954483,0.055940472,126.8938335,1847.607796,3483.92002,2.025180031,3.648940105,35.46970304,3.143754151,412.928966,0.337430073,269.7122088,13.83380178,334.669081,479.8628966,2.025180031,595.3510506,0.002262414,226.2413848,519.860205,0.119551231,679.2159941,8.970461687,0.031084669,24.03562147,9.536574069,1.960881727,26092.23266,0.521477682,8.559532556,268.7883563,151.8598253,28.72067404,3.03570571,31.92816792,14.48701241,0.868957829,11.13225193,193.0969142,0.561860087,11.45847288,485.1713535,169.4484897,10.34167359,190.710565,3.619657163,654.9769637,1309.953927,0.086361911,947.9267149,104.2290488,53.20011901,0.190802932,25.09513728,77.96072876,372.0323869,2.310387257,162.014233,1309.953927,36.4471903,679.2159941,2.760557408,1309.953927,6.271701493,5.233761566,0.310831807,1597.503198,20.50714323,11.32085621,92.8380115,3.240229958,770.5680512,160.4699052,0.094395758,560.8000667,650.4330233,23.96836011,1.284514199,0.642304395,11.08281967,2.250050206,0.149493543,0.410477633,85.67373711,0.654705437,53.89748955,127.9673373,1.455556149,15.75657037,8.5157589,77.96072876,0.707463965,1588.836302,1177430.288,67.88075186,54.50450628,0.318931104,21.66013929,11.10848311,731.8179819,34.75062345,77.96072876,12.04707552,53.73125411,149.7090203,2631606.758,1309.953927,1725.840767,1.259406167,731.8178365,16.554434,7.368987592,2.700240041,87.33026182,1588.836302,1588.836302,7859.723595,485.7434496,1588.836302,373.8909119,1588.836302,1588.836302,907.5284021,81.69347235
2022-08-04,1305.596285,1334.449292,1585.013238,16.48373584,909.4722797,1015.774187,947.9549455,1364.857126,292.8940834,9.795508755,193.4414552,821.945593,36.39579333,3.375789396,355.506136,166.3166667,64.22138536,78.27398116,23.51241657,128.8212452,0.087649647,250.2908355,348.1590092,72.76444671,10.9614744,1,68.18252967,0.893582476,133.986279,4256.784086,21.2818805,179.2854327,5.820089415,390.3338889,282.4223187,358.680298,2334605.013,3395.569011,0.305079592,1.448604918,43.55702053,9.843229675,54.23789391,0.056008307,126.7675318,1841.461614,3472.330544,2.034354832,3.636638477,35.34790452,3.129575842,413.7068358,0.3364834,270.7688573,13.7712127,335.2677023,480.9092483,2.034354832,595.7302076,0.002256069,225.6068617,518.1188961,0.120030816,682.293089,9.01422161,0.030785792,23.92926966,9.620163217,1.952268127,26295.89243,0.519635694,8.522479554,267.963781,152.6142914,28.68560278,3.053994521,32.00116184,14.43929464,0.866067187,11.18268507,192.40323,0.55994007,11.37870793,483.5367911,168.6822979,10.29750795,190.0035039,3.60761615,652.7981423,1305.596285,0.085891633,947.9549455,103.6803301,52.99814666,0.190207089,24.76265357,78.27398116,370.794783,2.290564791,161.472492,1305.596285,36.3110283,682.293089,2.735659407,1305.596285,6.245545056,5.218392666,0.309925893,1592.186918,20.437993,11.36965188,102.6416139,3.232937879,768.8023654,159.9283348,0.094088003,558.0004774,647.3844815,23.88544952,1.275084418,0.639803726,11.03447482,2.248368185,0.150786725,0.409294694,84.94406114,0.654190482,54.25888958,127.475633,1.450712092,15.72614012,8.486083088,78.27398116,0.704320273,1585.013238,1214119.642,67.58066853,54.26374603,0.317927568,21.56532787,11.09785344,729.3836036,34.60667043,78.27398116,12.10165314,52.95143409,149.211004,2712002.255,1305.596285,1725.488058,1.267833466,729.3833992,16.48373584,7.344263209,2.712473109,87.03975231,1585.013238,1585.013238,7833.577739,483.5933707,1585.013238,373.7146727,1585.013238,1585.013238,909.4722797,81.27974989
2022-08-05,1305.260177,1327.252083,1573.94615,16.43687863,900.4565454,1008.507694,944.3334262,1354.628492,292.8897963,9.64511938,193.0195098,814.1630316,36.45813209,3.370158465,355.4146159,166.2753329,63.96772888,77.68145568,23.4692607,127.9581433,0.087307714,251.001451,348.0693805,72.77321955,10.94785146,1,68.22338087,0.89420068,132.989541,4254.971836,21.56578038,178.3821877,5.815753607,389.798144,281.7752748,358.5879607,2314883.242,3394.694869,0.301910501,1.421384907,43.48377817,9.822644757,54.18083468,0.055712486,126.4421658,1840.987556,3471.436641,2.023382757,3.635624277,35.34029126,3.125846724,413.7922399,0.336391775,269.393974,13.78104661,335.3079737,481.6716348,2.023382757,592.4328265,0.002237614,223.7613875,516.9526313,0.119862206,678.6132145,9.020262449,0.030967478,23.99811012,9.512510748,1.953139123,25917.42924,0.519529014,8.544655564,267.5220767,150.8664861,28.39183978,3.054178673,32.093969,14.41494719,0.86584423,11.12237246,192.2907426,0.559767704,11.45178464,483.4291961,168.7597417,10.26823591,189.9618779,3.606687419,652.6300885,1305.260177,0.085614125,944.3334262,103.8933716,53.1070864,0.19027045,24.80676859,77.68145568,370.6977899,2.290605984,161.4323621,1305.260177,36.46476139,678.6132145,2.736889831,1305.260177,6.247683501,5.21709334,0.310296313,1591.783409,20.43056673,11.32402438,93.10447147,3.230630545,767.8273234,160.5422916,0.09387856,559.6884787,647.6651046,23.99759412,1.272300661,0.639247839,11.02473612,2.303067176,0.148317185,0.410031046,84.89596001,0.652483903,54.01460281,127.5325619,1.450439704,15.72685981,8.499167329,77.68145568,0.704599387,1573.94615,1221104.525,67.66799497,54.28715383,0.317737618,21.67359342,11.12154155,729.2311676,34.57759393,77.68145568,12.03638418,52.28620948,149.1725917,2778297.378,1305.260177,1719.90671,1.269928573,729.1956296,16.43687863,7.342096417,2.697843676,87.01734513,1573.94615,1573.94615,7831.561093,485.5472741,1573.94615,372.5443651,1573.94615,1573.94615,900.4565454,81.19409583
2022-08-06,1302.485364,1325.99727,1572.361615,16.40910845,901.9602522,1006.703007,943.1084421,1354.130289,292.272727,9.646441863,192.771271,812.540322,36.36676322,3.371081276,354.6590508,165.9237733,63.78703657,77.61833485,23.44259569,127.80041,0.087375646,251.273608,347.3294304,72.71900981,10.92060933,1,68.21826571,0.892323966,132.9845163,4232.138152,21.3518924,178.216928,5.775652048,388.3221771,281.8392159,357.8256494,2312042.166,3387.47819,0.299967746,1.418558653,43.39515886,9.802771064,54.14514174,0.05568532,125.9318599,1837.073856,3464.056819,2.021469806,3.601740939,35.15439593,3.119324536,412.7034247,0.335843165,269.4744512,13.73172463,333.6384033,478.4726556,2.021469806,591.8543305,0.002233492,223.3491521,515.8373999,0.119330231,677.9716386,8.994979177,0.030987236,23.93852292,9.504096595,1.938460738,25906.45116,0.518395798,8.555067417,267.3836689,152.6573959,28.10656392,3.027526525,31.99345664,14.38275117,0.864003558,11.11185712,191.8288593,0.558589877,11.33719835,482.3428618,168.3584861,10.25088768,189.6234992,3.599020072,651.242682,1302.485364,0.085757593,943.1084421,103.1998253,53.21534286,0.189058651,24.94762413,77.61833485,370.0385552,2.301307501,161.0910421,1302.485364,36.30786251,677.9716386,2.731959018,1302.485364,6.197547917,5.205437379,0.316001057,1588.385115,20.44744237,11.29018206,90.96148875,3.217758475,766.1707489,157.8614888,0.094028597,560.3292308,646.0063623,24.02515766,1.271971737,0.638833985,10.81775263,2.240126392,0.150817753,0.409255478,83.34176766,0.65119759,54.03297035,127.2631233,1.447206094,15.69340846,8.486641209,77.61833485,0.702238448,1572.361615,1214086.678,67.6725481,52.11651937,0.317732287,21.50763486,11.18420847,728.6623215,34.43850744,77.61833485,12.02500471,52.50612266,148.8554702,2773643.736,1302.485364,1722.793853,1.266886221,727.6454547,16.40910845,7.317342369,2.695293075,86.8323576,1572.361615,1572.361615,7814.912215,493.6440681,1572.361615,371.1699154,1572.361615,1572.361615,901.9602522,80.89108804
2022-08-07,1302.198143,1326.162084,1571.882988,16.40543221,905.7817881,1006.99324,942.8634885,1353.735677,292.2324675,9.64760323,192.6848671,812.3940568,36.35818494,3.370456766,354.5808423,165.8843094,63.78168882,77.60308273,23.43694836,127.8458388,0.087372192,252.0140174,347.2528383,72.70304761,10.92003367,1,68.20640572,0.892138459,132.9565176,4230.68275,21.39660634,178.1722726,5.777302367,388.1959414,281.7821522,357.7467427,2311532.321,3386.731192,0.299832255,1.41824911,43.38512868,9.801763335,54.13638175,0.055673076,125.9097612,1836.66875,3463.292935,2.021721064,3.580037282,35.14734478,3.118615958,412.6124569,0.335798816,269.1503536,13.73713288,333.5819595,478.3671441,2.021721064,591.7238164,0.002233098,223.3098248,515.7220326,0.119303733,678.0559068,8.992584195,0.03098609,23.94199608,9.501959552,1.93765865,25900.73834,0.518281204,8.581613764,267.5712842,153.1600557,28.14261447,3.026858903,31.99215369,14.38735909,0.863813031,11.11323827,191.8011342,0.558518156,11.33384147,482.2955995,168.350155,10.2485911,189.6868035,3.598226426,651.0990717,1302.198143,0.085739028,942.8634885,103.177068,53.22828178,0.189046074,24.9413967,77.60308273,370.6057753,2.303279296,161.0527276,1302.198143,36.29883211,678.0559068,2.731735024,1302.198143,6.195538757,5.204213407,0.316220342,1588.036665,20.44288942,11.27091154,90.83517582,3.217048904,766.0017951,157.8267136,0.093997346,560.2056473,646.1546112,24.0198597,1.271872035,0.638850293,10.80675056,2.239630741,0.150900817,0.409189301,83.10298293,0.651053498,54.03393019,127.2350596,1.446886826,15.68994779,8.485056499,77.60308273,0.702176159,1571.882988,1213818.951,67.71657516,52.0879252,0.317753071,21.49908968,11.18174559,728.5024282,34.43144981,77.60308273,12.02649936,52.40301814,148.822645,2773032.099,1302.198143,1722.413948,1.266712648,727.4849964,16.40543221,7.31573112,2.695628086,86.81320957,1571.882988,1571.882988,7813.188892,493.5352465,1571.882988,371.0434363,1571.882988,1571.882988,905.7817881,80.88067259
2022-08-08,1300.709944,1327.57347,1573.361459,16.34006025,909.2545739,1011.854491,943.5909928,1362.46827,291.7045109,9.652855272,192.6715634,817.7308704,36.53821809,3.366883157,354.1756144,165.692938,64.08844742,78.18733358,23.47300222,128.1260515,0.087555524,253.377312,346.855985,72.38394241,10.9122034,1,67.83783968,0.891680175,133.7278083,4241.599041,21.53523461,178.4318935,5.79686898,393.2047106,282.4851569,357.3378966,2325123.914,3382.860712,0.30244362,1.436597319,43.29894817,9.738886004,54.14735978,0.055761434,126.5907219,1834.569737,3459.334957,2.023872708,3.563335691,35.24044042,3.11198112,414.8912477,0.335196093,270.6792284,13.71178474,333.5563487,479.9924976,2.023872708,594.1823088,0.002228966,222.8965756,516.0910265,0.119659893,678.777537,9.019575337,0.030726945,23.92123818,9.462435977,1.936898806,26867.99361,0.517691041,8.514107397,266.6279234,150.0155285,28.56038539,3.050794539,32.33982538,14.38958286,0.862825833,11.12506568,191.2289927,0.557664101,11.41240078,481.7458848,167.4123296,10.20775277,188.3739572,3.594114241,650.3549719,1300.709944,0.085752459,943.5909928,103.2025264,52.64124008,0.188802045,24.56413198,78.18733358,369.4066451,2.284049041,160.8669301,1300.709944,36.02602467,678.777537,2.726180722,1300.709944,6.214601605,5.197902567,0.30725254,1586.22448,20.37830933,11.3143875,95.88206439,3.215769764,765.1506949,159.9899573,0.093485841,557.7469459,642.3485395,23.918597,1.268888558,0.628774517,10.62014879,2.279244345,0.149442846,0.409319396,84.46997592,0.650399651,53.91147113,127.5035533,1.445241556,15.67130871,8.470913424,78.18733358,0.699173266,1573.361459,1230243.283,67.34584545,53.77696234,0.316833006,21.54120662,11.03291184,726.7503625,34.45268811,78.18733358,12.03929872,52.44882465,148.652565,2925894.596,1300.709944,1717.738563,1.265494054,726.6535999,16.34006025,7.315504542,2.698496945,86.71399625,1573.361459,1573.361459,7804.259694,480.7105866,1573.361459,372.0532963,1573.361459,1573.361459,909.2545739,80.84787325
2022-08-09,1306.788803,1336.459508,1580.046597,16.41958841,911.1586844,1014.646245,948.1604516,1371.897357,293.3116439,9.682296964,193.5177579,821.4882483,36.94885622,3.370472938,355.8308518,166.4720591,64.40598383,78.73813817,23.49975192,128.6166546,0.087869296,254.6715889,348.4770142,72.87401356,10.96475938,1,68.20439227,0.895623575,134.546704,4262.000272,21.60006198,179.6076809,5.824176451,394.5297762,284.2781614,359.007913,2346808.629,3398.67049,0.302712097,1.44924073,43.50472427,9.766595851,54.5324205,0.056071625,127.3202523,1843.143587,3475.502137,2.037419385,3.640016772,35.39688652,3.126463598,415.9695571,0.337148953,272.6018054,13.77880668,332.2754277,483.1251568,2.037419385,596.3976902,0.002233725,223.3725013,518.5659537,0.120297901,683.3208958,9.082019692,0.030900607,24.11298787,9.538866561,1.952818134,26772.80406,0.520235461,8.55601873,267.8706307,149.2004454,29.3732662,3.042868235,32.51072762,14.52551052,0.866858244,11.19953067,192.1103999,0.560190933,11.43500829,483.9976631,168.7780741,10.25743458,189.9169224,3.610911311,653.3944017,1306.788803,0.086261561,948.1604516,103.7544565,53.15374199,0.190178019,24.81761982,78.73813817,371.1332452,2.293849222,161.6233583,1306.788803,36.45513577,683.3208958,2.726858365,1306.788803,6.247055414,5.222998371,0.31198108,1593.647541,20.46089411,11.38941558,91.1793039,3.233311658,767.5986977,160.7203407,0.094116254,561.8731011,647.5897036,24.04798164,1.283997065,0.634432024,10.66298237,2.29159519,0.148927161,0.410928028,84.75288038,0.653444137,54.38454715,127.7768553,1.452001398,15.77696663,8.513552943,78.73813817,0.689245287,1580.046597,1223747.324,67.65300488,54.22586068,0.318107741,21.72412648,11.13879225,730.1118524,34.62705069,78.73813817,12.11988308,54.38852627,149.3472918,2945540.681,1306.788803,1725.487512,1.256353067,730.0496108,16.41958841,7.350511914,2.71655918,87.11925356,1580.046597,1580.046597,7840.732851,485.6932187,1580.046597,372.9908226,1580.046597,1580.046597,911.1586844,81.23345815
2022-08-10,1298.511203,1341.44233,1589.701602,16.41557062,921.5584474,1016.478447,948.4494809,1379.629166,291.3598758,9.795937167,193.1251424,834.2836224,36.81393671,3.408203866,353.5769104,165.481393,65.04648132,80.24024464,23.44324461,129.3687148,0.087858784,257.083949,346.2696542,72.74618823,10.88494909,1,67.75117114,0.889813011,136.5275871,4240.60017,21.07041151,180.3324677,5.785373746,398.1476057,287.1347854,356.7338471,2334796.078,3377.142271,0.304542165,1.464667017,43.38547323,9.686850751,55.13584167,0.055348529,126.9671622,1831.468552,3453.487243,2.045015648,3.576927545,35.22227978,3.101478635,416.604397,0.336558981,273.3999667,13.67494731,331.6124601,481.8351065,2.045015648,598.4508429,0.002213203,221.3203445,514.2759191,0.119089065,685.8685722,9.065527593,0.030551717,23.9623289,9.574866537,1.94129846,26924.22832,0.51682475,8.521141357,266.1172487,146.5700889,28.46615715,3.045494805,32.39141279,14.39451166,0.861367299,11.24128672,191.0101659,0.55686843,11.33847228,480.9272247,167.8512105,10.25492464,188.673925,3.588038694,649.2556016,1298.511203,0.085589547,948.4494809,103.4591612,52.75816499,0.188553651,24.6369792,80.24024464,368.7878347,2.276311772,160.6615466,1298.511203,36.17320589,685.8685722,2.714014746,1298.511203,6.215182459,5.18987427,0.309551483,1583.566041,20.32791239,11.43254501,90.93709324,3.209397376,762.7354462,159.6737915,0.093387747,555.5295883,644.1005216,23.95727208,1.269955359,0.629692777,10.70936636,2.29054577,0.150403308,0.40638319,84.80427669,0.650204692,54.07300814,126.8829992,1.442932833,15.79073516,8.459376812,80.24024464,0.617495064,1589.701602,1234835.396,67.37661964,53.85344858,0.317394283,21.50808675,11.05533107,725.4327013,34.39113321,80.24024464,12.16507055,54.04240196,148.4012804,2921858.345,1298.511203,1726.592855,1.2439005,725.4252532,16.41557062,7.304296392,2.726687531,86.56741355,1589.701602,1589.701602,7791.067251,481.4348832,1589.701602,370.6257565,1589.701602,1589.701602,921.5584474,80.71151494
2022-08-11,1301.067706,1344.888823,1590.514437,16.35604261,926.1946021,1020.75435,950.7287425,1385.077828,292.5773448,9.807089627,192.9078473,838.2100336,37.00229953,3.4073423,354.273031,165.8718203,65.28645749,80.21173983,23.4932678,129.614336,0.088490325,253.0241713,346.9513883,72.47295852,10.90195788,1,67.94674708,0.891888362,137.005961,4246.422183,21.44384909,180.7889897,5.873580245,402.1278922,287.2516349,357.436183,2329846.646,3383.791174,0.307717131,1.476169744,43.40037467,9.693065462,55.23880602,0.055383122,127.0370502,1835.074339,3460.286453,2.050269794,3.584186147,35.2321803,3.106171369,417.559358,0.341583217,274.4350909,13.71088115,334.920719,482.7729294,2.050269794,601.0898265,0.002198715,219.8714944,516.3192236,0.119441656,687.6307365,9.093283899,0.030641666,24.09766172,9.598675736,1.946636059,26517.9846,0.517934599,8.559200683,267.22671,145.4027624,28.93170719,3.034936714,32.38686137,14.48278992,0.863063155,11.27016834,191.7791552,0.55803668,11.48515278,481.8768806,168.3381085,10.21773706,188.4942906,3.595102808,650.5338531,1301.067706,0.085796006,950.7287425,103.6819904,52.98906522,0.189126887,24.73884933,80.21173983,370.1541366,2.284940893,161.0406022,1301.067706,36.28660859,687.6307365,2.731943399,1301.067706,6.232945942,5.198849046,0.309880343,1586.660417,20.36884012,11.46100202,101.9489349,3.227943432,765.3609659,159.9609694,0.093554413,560.7885785,646.1963177,24.00942953,1.270740257,0.636320258,10.72792382,2.285595419,0.150808132,0.407281531,84.74269122,0.651538058,54.82262511,127.2753422,1.445708534,15.81671628,8.473995977,80.21173983,0.619878719,1590.514437,1255440.323,67.59834369,53.81817461,0.31666276,21.78183064,11.18963872,726.8686227,34.48674356,80.21173983,12.19632559,54.93173052,148.6934521,2959456.705,1301.067706,1728.239729,1.264629928,726.8534672,16.35604261,7.318755026,2.733693059,86.73784708,1590.514437,1590.514437,7806.406269,487.3090073,1590.514437,372.3927352,1590.514437,1590.514437,926.1946021,80.80715536
