Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita
Afghanistan,Afghan Afghani,AFN,1665.805842,368.8
Albania,Lek,ALL,15709.25126,6492.9
Algeria,Algerian Dinar,DZD,11039.81,3690.6
Andorra,Euro,EUR,36839.88,42137.3
Angola,Kwanza,AOA,6491.125578,1953.5
Anguilla,East Caribbean Dollar,XCD,12200,21241
Antigua and Barbuda,East Caribbean Dollar,XCD,21010.00357,15781.4
Argentina,Argentine Peso,ARS,23649.6703,10636.1
Armenia,Armenian Dram,AMD,15592.48736,4966.5
Aruba,Aruban Guilder,AWG,42698.35987,29342.1
Australia,Australian Dollar,AUD,56281.37865,60433.1
Austria,Euro,EUR,58430.64025,53637.7
Azerbaijan,Azerbaijanian Manat,AZN,15854.55084,5388
Bahamas,Bahamian Dollar,BSD,33188.73247,27478.4
Bahrain,Bahraini Dinar,BHD,54256.77143,26563
Bangladesh,Taka,BDT,6493.809393,2457.9
Barbados,Barbados Dollar,BBD,15110.95733,17225.5
Belarus,Belarussian Ruble,BYN,21698.57409,7302.3
Belgium,Euro,EUR,58905.16378,51247
Belize,Belize Dollar,BZD,9626.573571,6228.3
Benin,CFA Franc BCEAO,XOF,3649.04065,1319.2
Bermuda,Bermudian Dollar,BMD,88185.46587,114090.3
Bhutan,Ngultrum,BTN,11983.31697,3266.4
Bolivia (Plurinational State of),Boliviano,BOB,8846.081965,3345.2
Bosnia and Herzegovina,Convertible Marks,BAM,17376.60824,7143.3
Botswana,Pula,BWP,16304.15336,6805.2
Brazil,Brazilian Real,BRL,16031.08617,7507.2
Brunei Darussalam,Brunei Dollar,BND,66055.2483,31449.1
Bulgaria,Bulgarian Lev,BGN,27926.10922,12221.5
Burkina Faso,CFA Franc BCEAO,XOF,2394.705365,893.1
Burundi,Burundi Franc,BIF,774.5428909,221.5
C?te d'Ivoire,CFA Franc BCEAO,XOF,5850.051925,2549
Cabo Verde,Cabo Verde Escudo,CVE,6716.956331,3293.2
Cambodia,Riel,KHR,4783.903614,1625.2
Cameroon,CFA Franc BEAC,XAF,4065.31161,1666.9
Canada,Canadian Dollar,CAD,52085.03569,51987.9
Cayman Islands,Cayman Islands Dollar,KYD,74155.27789,86568.8
Central African Republic,CFA Franc BEAC,XAF,920.0784701,461.1
Chad,CFA Franc BEAC,XAF,1566.041161,685.7
Chile,Chilean Peso,CLP,28684.78027,16265.1
China,Yuan Renminbi,CNY,19338.23408,12556.3
"China, Hong Kong SAR",Hong Kong Dollar,HKD,65891.69471,49800.5
"China, Macao SAR",Pataca,MOP,71185.65564,43873.6
Colombia,Colombian Peso,COP,16819.17629,6104.1
Comoros,Comoro Franc,KMF,3546.843502,1577.5
Congo,CFA Franc BEAC,XAF,3553.287985,2290.4
Costa Rica,Costa Rican Colon,CRC,23319.50228,12472.4
Croatia,Croatian Kuna,EUR,34314.01846,17685.3
Cuba,Cuban Peso,CUP,21016.65,9499.6
Cuba,Cuban Convertible Peso,CUC,21016.65,9499.6
Cura?ao,Netherlands Antillian Guilder,ANG,22832.19418,17717.6
Cyprus,Euro,EUR,44109.67188,31551.8
Czechia,Czech Koruna,CZK,45093.65777,26821.2
D.R. of the Congo,Franc Congolais,CDF,1179.499142,577.2
Denmark,Danish Krone,DKK,64651.21645,68007.8
Djibouti,Djibouti Franc,DJF,5397.679018,3150.4
Dominica,East Caribbean Dollar,XCD,11950.55716,7653.2
Dominican Republic,Dominican Peso,DOP,20462.51713,8476.8
Ecuador,US Dollar,USD,11720.64464,5965.1
Egypt,Egyptian Pound,EGP,12706.40445,3698.8
El Salvador,US Dollar,USD,9981.88602,4551.2
Equatorial Guinea,CFA Franc BEAC,XAF,16080.14326,7506.7
Eritrea,Nakfa,ERN,2102.95,643.8
Estonia,Euro,EUR,42138.32058,27943.7
Eswatini,Lilangeni,SZL,9730.068125,3978.4
Ethiopia,Ethiopian Birr,ETB,2547.716814,925.1
Fiji,Fiji Dollar,FJD,11380.5695,4646.6
Finland,Euro,EUR,55013.3859,53654.8
France,Euro,EUR,50541.25936,43659
French Polynesia,CFP Franc,XPF,15175.68734,19914.6
Gabon,CFA Franc BEAC,XAF,13813.72,8635.3
